Image,Checkpointed,Checkpoint size,Freezing time,Frozen time,Memdump time,Memwrite time,Total dump time
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,277,73.177,4.708,3.109,81.271
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,252,75.131,5.059,3.358,83.8
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,444,98.333,8.096,5.265,112.138
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,262,69.803,4.362,2.946,77.373
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,411,96.957,8.068,5.356,110.792
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,264,78.039,4.234,2.905,85.442
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,483,106.94,8.141,5.408,120.972
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,296,76.152,4.356,3.006,83.81
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,406,79.762,5.776,3.883,89.827
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,336,72.598,6.173,4.257,83.364
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,267,71.58,4.808,3.196,79.851
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,446,94.94,8.531,5.652,109.569
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,220,77.6,3.655,2.472,83.947
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,283,85.634,5.764,4.341,96.022
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,274,79.972,4.549,2.654,87.449
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,486,97.25,7.978,5.053,110.767
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,269,82.773,4.917,3.259,91.218
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,453,103.06,8.675,5.755,117.943
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,357,88.071,4.783,3.568,96.779
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,367,92.136,6.382,4.244,103.129
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,254,79.131,4.934,3.148,87.467
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,551,100.17,8.501,5.56,114.782
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,291,81.702,4.707,3.082,89.782
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,272,88.338,4.051,2.859,95.52
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,389,82.257,4.252,2.925,89.823
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,453,97.193,8.333,5.422,111.401
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,275,69.52,4.897,3.123,77.815
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,435,92.739,7.999,5.296,106.469
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,348,77.446,4.674,3.108,85.576
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,388,89.352,6.032,4.086,99.858
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,373,82.98,4.354,3.044,90.751
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,435,120.55,8.189,5.378,134.552
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,274,77.948,4.893,3.187,86.302
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,517,115.3,8.055,5.25,129.122
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,264,81.413,6.396,3.289,91.362
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,279,98.287,4.423,3.036,106.025
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,267,78.543,4.75,3.145,86.705
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,427,95.583,7.533,4.896,108.439
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,286,84.357,4.001,2.687,91.331
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,459,106.41,8.051,5.219,120.139
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,277,75.674,4.881,3.246,84.078
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,282,88.855,4.4,2.997,96.534
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,269,69.695,5.506,3.877,79.347
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,465,98.215,7.985,5.471,112.136
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,237,67.614,4.058,2.694,74.603
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,556,95.671,7.218,4.831,108.276
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,354,81.919,4.284,2.658,89.215
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,451,105.45,8.274,5.409,119.584
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,223,73.835,3.821,2.596,80.475
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,462,94.846,8.08,5.129,108.517
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,259,74.698,4.631,3.075,82.663
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,523,108.08,7.985,5.143,121.731
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,250,80.474,5.648,3.721,90.093
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,422,101.44,8.083,5.397,115.342
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,280,96.557,5.516,3.928,106.281
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,437,119.72,8.052,5.323,133.532
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,282,76.354,5.567,3.798,86.001
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,498,91.499,7.885,5.287,105.169
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,275,77.83,4.812,3.161,86.078
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,466,96.729,8.654,5.743,111.592
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,221,74.474,3.781,2.495,80.971
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,330,82.803,6.306,4.053,93.492
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,271,82.016,4.724,3.103,90.114
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,521,103.98,8.535,5.618,118.654
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,274,74.262,5.298,3.924,83.758
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,429,93.349,5.147,3.518,102.443
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,253,66.803,4.69,3.114,74.86
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,492,108.84,8.161,5.266,122.759
