Image,Checkpointed,Checkpoint size,Freezing time,Frozen time,Memdump time,Memwrite time,Total dump time
10.0.0.180:5000/localmongo:latest,2024-06-04T05:16:01Z,96.8 MiB,2.727,219.89,104.2,81.048,407.865
10.0.0.180:5000/localmongo:latest,2024-06-03T23:37:33Z,96.8 MiB,2.707,243.23,113.58,84.941,444.458
10.0.0.180:5000/localmongo:latest,2024-06-03T22:30:14Z,96.9 MiB,2.819,208.24,93.905,74.077,379.041
10.0.0.180:5000/localmongo:latest,2024-06-04T04:10:25Z,96.5 MiB,2.723,240.79,116.28,87.838,447.631
10.0.0.180:5000/localmongo:latest,2024-06-04T06:25:05Z,96.7 MiB,2.68,243.58,113.37,83.912,443.542
10.0.0.180:5000/localmongo:latest,2024-06-04T06:42:43Z,96.7 MiB,2.72,231.05,111.39,81.744,426.904
10.0.0.180:5000/localmongo:latest,2024-06-04T02:58:47Z,96.7 MiB,3.041,231.5,103.76,81.23,419.531
10.0.0.180:5000/localmongo:latest,2024-06-04T04:10:52Z,96.5 MiB,2.978,231.51,95.418,76.016,405.922
10.0.0.180:5000/localmongo:latest,2024-06-03T20:52:33Z,96.8 MiB,2.718,231.81,108.05,83.524,426.102
10.0.0.180:5000/localmongo:latest,2024-06-04T04:17:48Z,96.5 MiB,2.796,238.87,115.82,87.082,444.568
10.0.0.180:5000/localmongo:latest,2024-06-03T23:15:53Z,96.6 MiB,2.689,221.94,108.45,80.616,413.695
10.0.0.180:5000/localmongo:latest,2024-06-04T02:55:31Z,96.7 MiB,2.076,207.29,101.02,80.372,390.758
10.0.0.180:5000/localmongo:latest,2024-06-03T22:12:14Z,97.1 MiB,2.737,237.03,116.95,90.102,446.819
10.0.0.180:5000/localmongo:latest,2024-06-04T05:54:34Z,96.7 MiB,2.772,225.67,110.55,82.793,421.785
10.0.0.180:5000/localmongo:latest,2024-06-03T21:57:13Z,96.9 MiB,2.839,231.5,118.18,91.071,443.59
10.0.0.180:5000/localmongo:latest,2024-06-04T00:00:29Z,96.8 MiB,2.628,221.98,105.08,80.621,410.309
10.0.0.180:5000/localmongo:latest,2024-06-04T06:29:49Z,96.7 MiB,2.695,219.9,103.92,80.401,406.916
10.0.0.180:5000/localmongo:latest,2024-06-04T03:54:04Z,96.5 MiB,2.803,249.27,117.25,87.85,457.173
10.0.0.180:5000/localmongo:latest,2024-06-04T01:42:42Z,96.9 MiB,2.772,230.43,110.8,83.105,427.107
10.0.0.180:5000/localmongo:latest,2024-06-03T23:38:27Z,96.8 MiB,2.711,231.93,113.47,83.873,431.984
10.0.0.180:5000/localmongo:latest,2024-06-03T23:06:40Z,96.6 MiB,2.711,215.51,101.87,78.855,398.946
10.0.0.180:5000/localmongo:latest,2024-06-04T01:04:13Z,96.7 MiB,2.725,234.88,111.7,83.379,432.684
10.0.0.180:5000/localmongo:latest,2024-06-04T06:07:54Z,96.7 MiB,2.678,216.66,105.96,81.001,406.299
10.0.0.180:5000/localmongo:latest,2024-06-03T20:42:39Z,97.3 MiB,2.686,246.35,126.21,95.105,470.351
10.0.0.180:5000/localmongo:latest,2024-06-03T23:45:47Z,96.8 MiB,2.676,241.01,117.73,87.427,448.843
10.0.0.180:5000/localmongo:latest,2024-06-04T04:07:35Z,96.5 MiB,2.767,237.26,115.47,86.541,442.038
10.0.0.180:5000/localmongo:latest,2024-06-04T00:05:51Z,96.8 MiB,2.665,220.62,99.631,79.836,402.752
10.0.0.180:5000/localmongo:latest,2024-06-04T07:08:33Z,96.6 MiB,2.781,230.98,109.52,82.834,426.115
10.0.0.180:5000/localmongo:latest,2024-06-04T05:25:00Z,96.6 MiB,2.738,211.7,98.343,79.216,391.997
10.0.0.180:5000/localmongo:latest,2024-06-03T23:24:31Z,96.6 MiB,2.921,228.01,108.42,81.65,421.001
10.0.0.180:5000/localmongo:latest,2024-06-03T21:00:19Z,96.9 MiB,2.833,230.59,115.74,87.131,436.294
10.0.0.180:5000/localmongo:latest,2024-06-04T02:46:16Z,96.7 MiB,2.681,231.82,112.42,83.125,430.046
10.0.0.180:5000/localmongo:latest,2024-06-04T05:47:24Z,96.7 MiB,2.729,211.31,102.56,78.963,395.562
10.0.0.180:5000/localmongo:latest,2024-06-04T01:12:14Z,96.7 MiB,2.782,219.81,102.39,81.07,406.052
10.0.0.180:5000/localmongo:latest,2024-06-04T06:55:08Z,96.7 MiB,2.642,242.84,114.74,85.713,445.935
10.0.0.180:5000/localmongo:latest,2024-06-03T20:45:09Z,97.3 MiB,2.73,235.38,116.47,87.687,442.267
10.0.0.180:5000/localmongo:latest,2024-06-04T01:44:36Z,96.9 MiB,2.704,221.69,102.72,80.573,407.687
10.0.0.180:5000/localmongo:latest,2024-06-04T05:46:03Z,96.7 MiB,2.661,220.03,101.98,78.352,403.023
10.0.0.180:5000/localmongo:latest,2024-06-04T01:15:51Z,96.9 MiB,2.597,224.25,104.2,82.814,413.861
10.0.0.180:5000/localmongo:latest,2024-06-04T00:14:05Z,96.6 MiB,2.726,240.04,113.97,85.65,442.386
10.0.0.180:5000/localmongo:latest,2024-06-04T02:54:34Z,96.7 MiB,2.817,221,106.2,82.092,412.109
10.0.0.180:5000/localmongo:latest,2024-06-04T02:43:29Z,96.7 MiB,1.851,218.91,107.28,82.494,410.535
10.0.0.180:5000/localmongo:latest,2024-06-04T06:49:43Z,96.7 MiB,2.736,237.66,113.92,84.746,439.062
10.0.0.180:5000/localmongo:latest,2024-06-04T06:13:49Z,96.7 MiB,2.684,214.04,100.94,79.895,397.559
10.0.0.180:5000/localmongo:latest,2024-06-04T01:25:03Z,96.9 MiB,3.078,240.17,109.81,82.509,435.567
10.0.0.180:5000/localmongo:latest,2024-06-04T01:20:55Z,96.9 MiB,2.665,225.69,112.3,83.724,424.379
10.0.0.180:5000/localmongo:latest,2024-06-04T02:52:17Z,96.7 MiB,2.577,215.14,105.02,80.077,402.814
10.0.0.180:5000/localmongo:latest,2024-06-04T05:30:58Z,96.6 MiB,2.875,210.32,100.97,79.358,393.523
10.0.0.180:5000/localmongo:latest,2024-06-03T22:10:52Z,97.1 MiB,2.989,232.12,113.66,87.629,436.398
10.0.0.180:5000/localmongo:latest,2024-06-04T06:02:50Z,96.7 MiB,2.685,234.38,112.07,82.89,432.025
10.0.0.180:5000/localmongo:latest,2024-06-04T04:34:03Z,96.5 MiB,2.714,240.15,117.56,87.393,447.817
10.0.0.180:5000/localmongo:latest,2024-06-03T22:05:25Z,97.1 MiB,2.615,221,106.49,86.185,416.29
10.0.0.180:5000/localmongo:latest,2024-06-03T23:52:40Z,96.8 MiB,2.615,210.77,104.16,82.271,399.816
10.0.0.180:5000/localmongo:latest,2024-06-04T03:32:45Z,96.8 MiB,2.831,239.32,111.83,82.87,436.851
10.0.0.180:5000/localmongo:latest,2024-06-04T00:42:20Z,96.7 MiB,2.56,224.69,103.13,76.445,406.825
10.0.0.180:5000/localmongo:latest,2024-06-04T01:54:01Z,96.9 MiB,2.7,215.51,99.989,79.297,397.496
10.0.0.180:5000/localmongo:latest,2024-06-04T01:13:08Z,96.7 MiB,3.096,236.53,108.2,85.925,433.751
10.0.0.180:5000/localmongo:latest,2024-06-04T00:26:34Z,96.7 MiB,2.84,218.18,109.1,82.396,412.516
10.0.0.180:5000/localmongo:latest,2024-06-03T21:41:44Z,96.9 MiB,2.655,215.74,99.624,74.019,392.038
10.0.0.180:5000/localmongo:latest,2024-06-04T03:19:19Z,96.8 MiB,2.814,237.01,114.93,85.716,440.47
10.0.0.180:5000/localmongo:latest,2024-06-04T01:28:43Z,96.9 MiB,2.715,214.89,101.01,77.056,395.671
10.0.0.180:5000/localmongo:latest,2024-06-04T00:10:51Z,96.7 MiB,2.753,223.9,99.066,78.758,404.477
10.0.0.180:5000/localmongo:latest,2024-06-04T05:37:51Z,96.7 MiB,2.754,235.86,115.41,85.951,439.975
10.0.0.180:5000/localmongo:latest,2024-06-04T04:51:20Z,96.5 MiB,2.896,232.41,115.31,86.574,437.19
10.0.0.180:5000/localmongo:latest,2024-06-04T06:15:12Z,96.7 MiB,2.542,212.91,99.944,79.059,394.455
10.0.0.180:5000/localmongo:latest,2024-06-04T06:30:44Z,96.7 MiB,2.669,232.65,104.56,79.446,419.325
10.0.0.180:5000/localmongo:latest,2024-06-04T02:18:50Z,96.6 MiB,2.693,221.28,100.67,80.4,405.043
10.0.0.180:5000/localmongo:latest,2024-06-04T06:14:45Z,96.7 MiB,2.515,238.64,115.37,85.801,442.326
10.0.0.180:5000/localmongo:latest,2024-06-03T21:20:13Z,96.9 MiB,2.689,216.08,102.04,79.748,400.557
10.0.0.180:5000/localmongo:latest,2024-06-04T01:34:11Z,96.9 MiB,2.73,226.33,111.61,82.223,422.893
10.0.0.180:5000/localmongo:latest,2024-06-03T21:33:55Z,96.9 MiB,2.816,216.27,97.867,76.005,392.958
10.0.0.180:5000/localmongo:latest,2024-06-04T04:57:32Z,96.5 MiB,2.715,237.41,115.09,86.76,441.975
10.0.0.180:5000/localmongo:latest,2024-06-04T03:06:41Z,96.7 MiB,2.668,237.45,115.12,85.67,440.908
10.0.0.180:5000/localmongo:latest,2024-06-04T02:43:56Z,96.7 MiB,2.654,219,109.64,84.217,415.511
10.0.0.180:5000/localmongo:latest,2024-06-04T05:28:12Z,96.6 MiB,2.748,235.12,116.49,84.231,438.589
10.0.0.180:5000/localmongo:latest,2024-06-03T22:28:26Z,96.9 MiB,2.664,225.47,107.43,80.497,416.061
10.0.0.180:5000/localmongo:latest,2024-06-04T06:50:39Z,96.7 MiB,2.601,233.65,115.79,86.586,438.627
10.0.0.180:5000/localmongo:latest,2024-06-04T02:17:27Z,96.6 MiB,2.729,223.56,110.39,81.945,418.624
10.0.0.180:5000/localmongo:latest,2024-06-04T06:33:02Z,96.7 MiB,2.669,236.59,111.82,84.123,435.202
10.0.0.180:5000/localmongo:latest,2024-06-04T05:08:42Z,96.8 MiB,3.091,235.75,114.44,84.762,438.043
10.0.0.180:5000/localmongo:latest,2024-06-04T04:19:33Z,96.5 MiB,3.086,239.51,116.4,87.054,446.05
10.0.0.180:5000/localmongo:latest,2024-06-04T06:54:14Z,96.7 MiB,2.719,247.07,113.75,85.622,449.161
