Image,Checkpointed,Checkpoint size,Freezing time,Frozen time,Memdump time,Memwrite time,Total dump time
10.0.0.180:5000/localredis:latest,2024-06-02T16:06:25Z,12.2 MiB,434,82.862,10.13,8.459,101.885
10.0.0.180:5000/localredis:latest,2024-06-02T15:41:46Z,12.2 MiB,639,113.47,18.711,15.733,148.553
10.0.0.180:5000/localredis:latest,2024-06-02T15:35:58Z,12.2 MiB,649,120.77,27.276,23.048,171.743
10.0.0.180:5000/localredis:latest,2024-06-02T15:37:29Z,12.2 MiB,380,81.866,15.436,8.694,106.376
10.0.0.180:5000/localredis:latest,2024-06-02T16:46:17Z,12.2 MiB,387,92.982,11.268,9.034,113.671
10.0.0.180:5000/localredis:latest,2024-06-02T17:20:26Z,12.2 MiB,716,110.42,19.246,16.447,146.829
10.0.0.180:5000/localredis:latest,2024-06-02T15:58:37Z,12.2 MiB,372,84.488,11.226,9.721,105.807
10.0.0.180:5000/localredis:latest,2024-06-02T16:40:55Z,12.2 MiB,621,94.978,18.546,14.37,128.515
10.0.0.180:5000/localredis:latest,2024-06-02T16:37:56Z,12.2 MiB,606,103.33,16.723,13.906,134.565
10.0.0.180:5000/localredis:latest,2024-06-02T16:10:48Z,12.2 MiB,683,119.22,18.88,14.66,153.443
10.0.0.180:5000/localredis:latest,2024-06-02T15:19:16Z,12.2 MiB,430,82.237,13.461,11.225,107.353
10.0.0.180:5000/localredis:latest,2024-06-02T15:05:56Z,12.2 MiB,443,86.51,11.554,9.849,108.356
10.0.0.180:5000/localredis:latest,2024-06-02T15:30:08Z,12.2 MiB,715,110.95,18.649,15.643,145.957
10.0.0.180:5000/localredis:latest,2024-06-02T17:07:30Z,12.2 MiB,606,117.59,17.981,15.121,151.298
10.0.0.180:5000/localredis:latest,2024-06-02T17:09:14Z,12.2 MiB,692,115.48,17.973,14.991,149.136
10.0.0.180:5000/localredis:latest,2024-06-02T15:00:51Z,12.2 MiB,755,122.95,27.195,24.076,174.976
10.0.0.180:5000/localredis:latest,2024-06-02T17:44:25Z,12.2 MiB,632,113.46,16.198,13.265,143.555
10.0.0.180:5000/localredis:latest,2024-06-02T15:54:09Z,12.2 MiB,700,97.114,20.184,17.186,135.184
10.0.0.180:5000/localredis:latest,2024-06-02T15:56:05Z,12.2 MiB,414,89.856,11.903,10.172,112.345
10.0.0.180:5000/localredis:latest,2024-06-02T15:46:09Z,12.2 MiB,414,75.441,10.926,9.017,95.798
10.0.0.180:5000/localredis:latest,2024-06-02T17:10:15Z,12.2 MiB,753,115.7,17.56,14.325,148.338
10.0.0.180:5000/localredis:latest,2024-06-02T17:25:56Z,12.2 MiB,371,81.793,11.334,9.645,103.143
10.0.0.180:5000/localredis:latest,2024-06-02T17:33:13Z,12.2 MiB,378,77.793,11.899,10.221,100.291
10.0.0.180:5000/localredis:latest,2024-06-02T14:54:39Z,12.2 MiB,677,110.34,20.012,16.251,147.28
10.0.0.180:5000/localredis:latest,2024-06-02T16:41:27Z,12.2 MiB,626,94.501,17.072,14.045,126.244
10.0.0.180:5000/localredis:latest,2024-06-02T16:34:54Z,12.2 MiB,405,83.245,11.29,9.04,103.98
10.0.0.180:5000/localredis:latest,2024-06-02T16:08:09Z,12.2 MiB,387,80.599,11.871,10.166,103.023
10.0.0.180:5000/localredis:latest,2024-06-02T17:38:41Z,12.2 MiB,367,86.84,10.225,8.569,106.001
10.0.0.180:5000/localredis:latest,2024-06-02T16:58:18Z,12.2 MiB,679,105.71,18.567,15.596,140.552
10.0.0.180:5000/localredis:latest,2024-06-02T15:12:01Z,12.2 MiB,642,130.68,23.202,19.246,173.77
10.0.0.180:5000/localredis:latest,2024-06-02T17:33:45Z,12.2 MiB,353,75.991,9.348,7.864,93.556
10.0.0.180:5000/localredis:latest,2024-06-02T17:39:21Z,12.2 MiB,383,76.434,11.154,8.843,96.814
10.0.0.180:5000/localredis:latest,2024-06-02T16:41:58Z,12.2 MiB,405,84.192,13.669,11.465,109.731
10.0.0.180:5000/localredis:latest,2024-06-02T15:26:02Z,12.2 MiB,698,114.47,20.898,16.489,152.555
10.0.0.180:5000/localredis:latest,2024-06-02T17:24:42Z,12.2 MiB,648,118.43,19.081,16.142,154.301
10.0.0.180:5000/localredis:latest,2024-06-02T15:34:47Z,12.2 MiB,427,88.456,13.145,10.481,112.509
10.0.0.180:5000/localredis:latest,2024-06-02T15:29:48Z,12.2 MiB,429,100.36,13.223,11.266,125.278
10.0.0.180:5000/localredis:latest,2024-06-02T15:37:09Z,12.2 MiB,379,90.759,10.77,9.075,110.983
10.0.0.180:5000/localredis:latest,2024-06-02T14:57:28Z,12.2 MiB,619,126.31,19.83,16.572,163.331
10.0.0.180:5000/localredis:latest,2024-06-02T16:28:17Z,12.2 MiB,416,85.876,12.68,10.019,108.991
10.0.0.180:5000/localredis:latest,2024-06-02T17:50:52Z,12.2 MiB,662,102.09,16.991,14.023,133.766
10.0.0.180:5000/localredis:latest,2024-06-02T16:37:13Z,12.2 MiB,526,104.9,14.012,11.774,131.212
10.0.0.180:5000/localredis:latest,2024-06-02T15:46:30Z,12.2 MiB,386,88.898,10.592,8.739,108.615
10.0.0.180:5000/localredis:latest,2024-06-02T15:06:07Z,12.2 MiB,649,103.38,19.915,17.028,140.972
10.0.0.180:5000/localredis:latest,2024-06-02T14:49:35Z,12.2 MiB,382,85.02,11.638,9.847,106.887
10.0.0.180:5000/localredis:latest,2024-06-02T15:06:28Z,12.2 MiB,783,110.21,19.306,16.418,146.717
10.0.0.180:5000/localredis:latest,2024-06-02T16:55:51Z,12.2 MiB,605,114.65,16.759,13.895,145.909
10.0.0.180:5000/localredis:latest,2024-06-02T16:23:00Z,12.2 MiB,770,111.82,19.334,15.196,147.12
10.0.0.180:5000/localredis:latest,2024-06-02T16:33:31Z,12.2 MiB,467,96.163,12.996,10.198,119.824
10.0.0.180:5000/localredis:latest,2024-06-02T17:02:35Z,12.2 MiB,658,113.96,17.502,14.628,146.748
10.0.0.180:5000/localredis:latest,2024-06-02T17:50:17Z,12.2 MiB,671,101.12,18.089,14.956,134.836
10.0.0.180:5000/localredis:latest,2024-06-02T17:23:05Z,12.2 MiB,395,76.31,10.512,8.782,95.999
10.0.0.180:5000/localredis:latest,2024-06-02T16:34:44Z,12.2 MiB,659,118.83,19.903,15.626,155.018
10.0.0.180:5000/localredis:latest,2024-06-02T16:06:14Z,12.2 MiB,695,117.94,23.977,20.598,163.21
10.0.0.180:5000/localredis:latest,2024-06-02T16:11:51Z,12.2 MiB,672,108.3,18.43,15.344,142.746
10.0.0.180:5000/localredis:latest,2024-06-02T15:10:59Z,12.2 MiB,667,97.276,19.338,16.313,133.594
10.0.0.180:5000/localredis:latest,2024-06-02T15:37:39Z,12.2 MiB,842,119.82,21.438,16.396,158.496
10.0.0.180:5000/localredis:latest,2024-06-02T15:53:48Z,12.2 MiB,801,130.22,19.821,16.689,167.531
