Image,Checkpointed,Checkpoint size,Freezing time,Frozen time,Memdump time,Memwrite time,Total dump time
10.0.0.180:5000/localredis:latest,2024-06-03T07:47:18Z,96.1 MiB,659,170.54,84.564,76.678,332.441
10.0.0.180:5000/localredis:latest,2024-06-02T22:42:59Z,96.1 MiB,511,183.03,90.823,84.018,358.382
10.0.0.180:5000/localredis:latest,2024-06-03T03:05:53Z,96.1 MiB,754,204.26,102.94,86.969,394.923
10.0.0.180:5000/localredis:latest,2024-06-03T02:03:09Z,96.1 MiB,634,192.59,95.384,85.554,374.162
10.0.0.180:5000/localredis:latest,2024-06-02T20:34:41Z,96.1 MiB,629,182.63,84.373,76.401,344.033
10.0.0.180:5000/localredis:latest,2024-06-02T23:26:33Z,96.1 MiB,682,189.85,92.555,82.37,365.457
10.0.0.180:5000/localredis:latest,2024-06-03T04:32:15Z,96.1 MiB,668,208.76,112.36,93.659,415.447
10.0.0.180:5000/localredis:latest,2024-06-02T22:15:31Z,96.1 MiB,763,207.7,108.74,92.845,410.048
10.0.0.180:5000/localredis:latest,2024-06-02T23:13:16Z,96.1 MiB,698,216.81,113.72,96.746,427.974
10.0.0.180:5000/localredis:latest,2024-06-03T00:54:30Z,96.1 MiB,487,157.44,77.156,70.026,305.109
10.0.0.180:5000/localredis:latest,2024-06-02T21:11:16Z,96.1 MiB,639,194.8,106.14,92.627,394.206
10.0.0.180:5000/localredis:latest,2024-06-03T05:07:50Z,96.1 MiB,658,178.07,93.34,84.523,356.591
10.0.0.180:5000/localredis:latest,2024-06-03T05:28:33Z,96.1 MiB,708,203.59,94.611,82.541,381.45
10.0.0.180:5000/localredis:latest,2024-06-02T20:51:28Z,96.1 MiB,619,187.32,99.134,89.354,376.427
10.0.0.180:5000/localredis:latest,2024-06-03T00:17:37Z,96.1 MiB,724,200.23,98.985,86.125,386.064
10.0.0.180:5000/localredis:latest,2024-06-02T21:18:31Z,96.1 MiB,631,185.66,94.096,85.849,366.236
10.0.0.180:5000/localredis:latest,2024-06-03T07:10:21Z,96.1 MiB,620,202.45,100.94,88.985,392.995
10.0.0.180:5000/localredis:latest,2024-06-02T21:32:05Z,96.1 MiB,632,183.26,82.712,74.374,340.978
10.0.0.180:5000/localredis:latest,2024-06-03T01:14:41Z,96.1 MiB,640,197.12,101.26,88.512,387.532
10.0.0.180:5000/localredis:latest,2024-06-02T21:55:02Z,96.1 MiB,679,214.57,109.16,94.532,418.941
10.0.0.180:5000/localredis:latest,2024-06-03T07:38:03Z,96.1 MiB,721,180.13,93.633,85.139,359.623
10.0.0.180:5000/localredis:latest,2024-06-02T21:38:00Z,96.1 MiB,752,215.96,110.91,96.16,423.782
10.0.0.180:5000/localredis:latest,2024-06-03T05:51:34Z,96.1 MiB,749,171.74,88.712,80.68,341.881
10.0.0.180:5000/localredis:latest,2024-06-02T21:00:25Z,96.1 MiB,692,205.34,109.08,94.38,409.492
10.0.0.180:5000/localredis:latest,2024-06-03T04:54:14Z,96.1 MiB,710,187.99,92.184,80.576,361.46
10.0.0.180:5000/localredis:latest,2024-06-03T01:13:38Z,96.1 MiB,749,207.79,104.52,91.054,404.113
10.0.0.180:5000/localredis:latest,2024-06-03T05:37:39Z,96.1 MiB,690,183.73,87.995,78.052,350.467
10.0.0.180:5000/localredis:latest,2024-06-02T20:26:19Z,96.1 MiB,620,212.76,109.18,94.715,417.275
10.0.0.180:5000/localredis:latest,2024-06-03T07:32:37Z,96.1 MiB,715,210.24,97.899,83.18,392.034
10.0.0.180:5000/localredis:latest,2024-06-03T02:37:58Z,96.1 MiB,654,231.08,122.58,103.76,458.074
10.0.0.180:5000/localredis:latest,2024-06-02T20:37:01Z,96.1 MiB,621,194.64,97.162,84.455,376.878
10.0.0.180:5000/localredis:latest,2024-06-02T20:32:24Z,96.1 MiB,677,191.13,98.391,85.515,375.713
10.0.0.180:5000/localredis:latest,2024-06-02T20:39:39Z,96.1 MiB,888,183.73,95.626,87.783,368.027
10.0.0.180:5000/localredis:latest,2024-06-02T21:09:37Z,96.1 MiB,619,206.61,114.45,100.12,421.799
10.0.0.180:5000/localredis:latest,2024-06-02T22:19:02Z,96.1 MiB,691,182.13,93.527,85.449,361.797
10.0.0.180:5000/localredis:latest,2024-06-02T21:20:29Z,96.1 MiB,681,204.47,103.08,89.761,397.992
10.0.0.180:5000/localredis:latest,2024-06-02T21:23:07Z,96.1 MiB,650,176.49,89.131,81.178,347.449
10.0.0.180:5000/localredis:latest,2024-06-02T23:39:41Z,96.1 MiB,624,194.25,96.432,86.322,377.628
10.0.0.180:5000/localredis:latest,2024-06-02T20:57:07Z,96.1 MiB,823,213.28,113.29,95.282,422.675
10.0.0.180:5000/localredis:latest,2024-06-03T06:39:53Z,96.1 MiB,668,198.69,98.157,83.728,381.243
10.0.0.180:5000/localredis:latest,2024-06-03T07:56:36Z,96.1 MiB,640,182.47,98.494,89.361,370.965
