Index, Checkpoint Creation, Checkpoint Location, Permission Change, Image Creation, Image Push, Pod Ready, Total
1, 325, 4, 11, 437, 1001, 1327, 3323
2, 268, 4, 11, 420, 957, 365, 2229
3, 294, 4, 11, 433, 1052, 1782, 3791
4, 278, 3, 10, 434, 1041, 1275, 3255
5, 306, 4, 12, 424, 941, 1870, 3778
6, 311, 4, 11, 456, 1015, 2242, 4252
7, 319, 4, 11, 414, 1010, 1788, 3760
8, 251, 4, 10, 434, 1003, 1350, 3264
9, 271, 5, 11, 434, 994, 1816, 3751
10, 253, 4, 11, 432, 1074, 2273, 4267
11, 281, 4, 12, 479, 1027, 1455, 3468
12, 253, 4, 11, 476, 1038, 1267, 3267
13, 299, 4, 11, 455, 1005, 1748, 3745
14, 287, 5, 12, 474, 1069, 2219, 4283
15, 288, 3, 12, 420, 984, 1797, 3732
16, 271, 5, 11, 442, 1114, 1926, 3994
17, 337, 4, 12, 472, 1026, 1354, 3434
18, 248, 3, 11, 486, 1029, 1295, 3291
19, 273, 4, 12, 475, 1037, 1391, 3418
20, 282, 4, 10, 455, 996, 3356, 5312
21, 387, 3, 13, 441, 1007, 1653, 3723
22, 252, 4, 12, 458, 1007, 1397, 3327
23, 380, 4, 13, 407, 1001, 1667, 3692
24, 287, 4, 9, 419, 992, 1442, 3357
25, 370, 3, 13, 438, 919, 1744, 3702
26, 270, 4, 10, 396, 1017, 2465, 4370
27, 386, 4, 10, 410, 964, 1681, 3672
28, 310, 3, 10, 426, 1017, 2434, 4405
29, 376, 4, 11, 452, 972, 1601, 3633
30, 281, 3, 10, 428, 969, 1526, 3428
31, 395, 3, 11, 417, 938, 1642, 3625
32, 260, 3, 9, 404, 1030, 2572, 4474
33, 394, 3, 10, 414, 944, 1627, 3605
34, 263, 4, 10, 453, 1008, 1507, 3452
35, 424, 4, 11, 431, 1044, 1466, 3594
36, 278, 3, 12, 457, 969, 1531, 3462
37, 389, 4, 10, 432, 990, 1505, 3556
38, 293, 4, 10, 421, 992, 1524, 3456
39, 368, 4, 11, 428, 994, 1567, 3586
40, 280, 4, 11, 476, 1084, 1299, 3372
41, 337, 3, 10, 427, 1038, 1311, 3345
42, 259, 3, 10, 445, 993, 1569, 3482
43, 342, 3, 10, 437, 1030, 1533, 3564
44, 275, 4, 10, 414, 1005, 1790, 3698
45, 382, 3, 11, 415, 946, 2086, 4062
46, 291, 3, 9, 441, 996, 1546, 3496
47, 364, 3, 10, 426, 955, 1583, 3556
48, 288, 3, 10, 454, 944, 1601, 3515
49, 406, 4, 11, 429, 1003, 1171, 3238
50, 276, 4, 11, 496, 922, 1608, 3517
51, 395, 3, 11, 432, 971, 1482, 3512
52, 357, 6, 16, 631, 1357, 1751, 4413
53, 387, 5, 15, 614, 1173, 1956, 4426
54, 433, 5, 16, 642, 1126, 2036, 4520
55, 387, 4, 11, 451, 1000, 1246, 3321
56, 278, 4, 11, 441, 963, 1829, 3741
57, 414, 4, 10, 440, 1031, 1165, 3284
58, 303, 3, 12, 467, 1083, 1445, 3534
59, 428, 4, 11, 482, 1022, 1338, 3505
60, 261, 4, 12, 469, 1109, 1705, 3781
61, 528, 4, 12, 466, 972, 2024, 4232
62, 303, 4, 11, 494, 1004, 1488, 3519
63, 406, 4, 10, 439, 972, 1460, 3502
64, 280, 4, 11, 422, 1043, 1569, 3541
65, 402, 4, 11, 457, 1054, 1363, 3505
66, 293, 5, 11, 444, 965, 1603, 3548
67, 427, 3, 11, 449, 950, 1434, 3491
68, 312, 3, 11, 467, 1020, 1523, 3552
69, 406, 3, 11, 418, 995, 1417, 3474
70, 259, 4, 11, 426, 1091, 1552, 3558
71, 413, 3, 11, 431, 978, 1423, 3475
72, 283, 4, 10, 422, 979, 1643, 3554
73, 432, 4, 11, 420, 945, 1145, 3172
74, 270, 4, 10, 444, 1039, 1622, 3595
75, 409, 4, 11, 428, 1056, 1320, 3441
76, 305, 3, 9, 452, 1042, 1284, 3307
77, 409, 4, 11, 436, 980, 1371, 3431
78, 248, 4, 11, 437, 1060, 1930, 3906
79, 408, 4, 12, 435, 960, 2083, 4121
80, 247, 4, 11, 410, 941, 2109, 3934
81, 427, 4, 12, 431, 939, 2066, 4096
82, 268, 4, 11, 432, 978, 2056, 3958
83, 407, 4, 12, 438, 1039, 1941, 4061
84, 250, 4, 12, 437, 988, 2072, 3986
85, 440, 4, 10, 462, 1000, 1889, 4029
86, 287, 4, 13, 446, 1036, 1614, 3617
87, 394, 4, 11, 436, 979, 1361, 3403
88, 320, 4, 11, 438, 1104, 1552, 3646
89, 422, 4, 12, 493, 1021, 1218, 3386
90, 262, 4, 11, 435, 987, 1851, 3748
91, 383, 4, 9, 415, 948, 2004, 3985
92, 285, 4, 10, 419, 940, 2200, 4073
93, 382, 4, 13, 415, 1012, 1912, 3954
94, 255, 4, 10, 469, 1124, 1721, 3791
95, 391, 4, 12, 445, 971, 1948, 3982
96, 255, 4, 11, 436, 978, 1203, 3107
97, 377, 4, 11, 449, 984, 1874, 3913
98, 307, 4, 11, 430, 973, 1899, 3832
99, 440, 4, 11, 418, 925, 1887, 3896
100, 310, 4, 11, 424, 980, 1768, 3702
101, 420, 4, 11, 474, 992, 1227, 3342
102, 250, 3, 11, 468, 953, 2239, 4137
103, 369, 4, 11, 440, 959, 1574, 3583
104, 261, 4, 12, 437, 1047, 2169, 4148
105, 380, 3, 10, 451, 986, 1832, 3879
106, 274, 3, 11, 432, 975, 1790, 3703
107, 417, 4, 11, 449, 1075, 1865, 4039
108, 291, 3, 9, 423, 957, 1814, 3709
109, 440, 4, 12, 448, 973, 1956, 4051
110, 310, 3, 10, 425, 953, 1539, 3439
111, 361, 4, 11, 446, 948, 1356, 3334
112, 265, 3, 11, 430, 1031, 2257, 4205
113, 379, 3, 11, 453, 955, 1840, 3854
114, 272, 3, 10, 413, 999, 1308, 3211
115, 363, 4, 10, 469, 987, 1783, 3835
116, 308, 4, 9, 447, 1013, 1741, 3727
117, 364, 3, 11, 455, 941, 2018, 4009
118, 289, 4, 10, 422, 998, 1809, 3751
119, 416, 4, 11, 417, 1023, 1187, 3274
120, 262, 4, 10, 447, 1019, 1838, 3782
121, 393, 4, 11, 429, 990, 1224, 3269
122, 283, 3, 11, 416, 992, 1873, 3790
123, 367, 4, 11, 448, 960, 1218, 3223
124, 281, 3, 12, 421, 938, 1956, 3820
125, 396, 4, 11, 438, 1063, 1812, 3940
126, 252, 4, 10, 452, 959, 1642, 3524
127, 379, 4, 11, 446, 920, 1946, 3922
128, 268, 3, 10, 427, 959, 1394, 3273
129, 417, 3, 12, 432, 959, 1731, 3774
130, 302, 3, 10, 420, 998, 1919, 3854
131, 409, 3, 10, 467, 1011, 1557, 3681
132, 308, 3, 10, 457, 990, 1816, 3797
133, 433, 4, 9, 457, 1030, 1593, 3737
134, 247, 4, 10, 433, 983, 2977, 4861
135, 395, 3, 10, 439, 982, 1130, 3171
136, 274, 3, 11, 426, 989, 2140, 4046
137, 418, 4, 10, 418, 1029, 1629, 3717
138, 263, 3, 11, 425, 933, 2060, 3901
139, 383, 3, 11, 420, 953, 1188, 3167
140, 278, 4, 10, 394, 944, 2072, 3901
141, 351, 3, 10, 439, 943, 1190, 3137
142, 258, 2, 9, 403, 952, 2126, 3946
143, 393, 4, 9, 423, 1052, 2033, 4118
144, 293, 4, 9, 442, 1079, 2025, 4086
145, 385, 4, 11, 424, 991, 1649, 3675
146, 296, 3, 9, 459, 957, 2006, 3944
147, 417, 4, 11, 423, 967, 2052, 4089
148, 305, 3, 9, 446, 1081, 1363, 3418
149, 396, 4, 10, 473, 1014, 1536, 3647
150, 288, 3, 11, 421, 964, 2244, 4137
151, 440, 3, 10, 446, 1014, 1475, 3603
152, 335, 4, 10, 440, 1013, 1442, 3454
153, 425, 4, 11, 428, 966, 1529, 3581
154, 320, 3, 10, 440, 927, 1763, 3675
155, 456, 4, 11, 433, 1035, 1922, 4081
156, 338, 3, 11, 448, 1010, 1950, 3975
