Index,Image,Checkpointed,Checkpoint size,Freezing time,Frozen time,Memdump time,Memwrite time,Total dump time (ms)
889,10.0.0.180:5000/localmongo:latest,2024-06-04T05:16:01Z,96.8 MiB,2.727 ms,219.89 ms,104.2 ms,81.048 ms,407.865
211,10.0.0.180:5000/localmongo:latest,2024-06-03T23:37:33Z,96.8 MiB,2.707 ms,243.23 ms,113.58 ms,84.941 ms,444.458
76,10.0.0.180:5000/localmongo:latest,2024-06-03T22:30:14Z,96.9 MiB,2.819 ms,208.24 ms,93.905 ms,74.077 ms,379.041
759,10.0.0.180:5000/localmongo:latest,2024-06-04T04:10:25Z,96.5 MiB,2.723 ms,240.79 ms,116.28 ms,87.838 ms,447.631
1023,10.0.0.180:5000/localmongo:latest,2024-06-04T06:25:05Z,96.7 MiB,2.68 ms,243.58 ms,113.37 ms,83.912 ms,443.542
1061,10.0.0.180:5000/localmongo:latest,2024-06-04T06:42:43Z,96.7 MiB,2.72 ms,231.05 ms,111.39 ms,81.744 ms,426.904
615,10.0.0.180:5000/localmongo:latest,2024-06-04T02:58:47Z,96.7 MiB,3.041 ms,231.5 ms,103.76 ms,81.23 ms,419.531
760,10.0.0.180:5000/localmongo:latest,2024-06-04T04:10:52Z,96.5 MiB,2.978 ms,231.51 ms,95.418 ms,76.016 ms,405.922
23,10.0.0.180:5000/localmongo:latest,2024-06-03T20:52:33Z,96.8 MiB,2.718 ms,231.81 ms,108.05 ms,83.524 ms,426.102
774,10.0.0.180:5000/localmongo:latest,2024-06-04T04:17:48Z,96.5 MiB,2.796 ms,238.87 ms,115.82 ms,87.082 ms,444.568
169,10.0.0.180:5000/localmongo:latest,2024-06-03T23:15:53Z,96.6 MiB,2.689 ms,221.94 ms,108.45 ms,80.616 ms,413.695
608,10.0.0.180:5000/localmongo:latest,2024-06-04T02:55:31Z,96.7 MiB,2.076 ms,207.29 ms,101.02 ms,80.372 ms,390.758
42,10.0.0.180:5000/localmongo:latest,2024-06-03T22:12:14Z,97.1 MiB,2.737 ms,237.03 ms,116.95 ms,90.102 ms,446.819
962,10.0.0.180:5000/localmongo:latest,2024-06-04T05:54:34Z,96.7 MiB,2.772 ms,225.67 ms,110.55 ms,82.793 ms,421.785
9,10.0.0.180:5000/localmongo:latest,2024-06-03T21:57:13Z,96.9 MiB,2.839 ms,231.5 ms,118.18 ms,91.071 ms,443.59
261,10.0.0.180:5000/localmongo:latest,2024-06-04T00:00:29Z,96.8 MiB,2.628 ms,221.98 ms,105.08 ms,80.621 ms,410.309
1033,10.0.0.180:5000/localmongo:latest,2024-06-04T06:29:49Z,96.7 MiB,2.695 ms,219.9 ms,103.92 ms,80.401 ms,406.916
