Image,Checkpointed,Checkpoint size,Freezing time,Frozen time,Memdump time,Memwrite time,Total dump time
10.0.0.180:5000/localmongo:latest,2024-06-03T19:29:08Z,68.1 MiB,2.957,214.88,79.494,55.515,352.846
10.0.0.180:5000/localmongo:latest,2024-06-03T12:19:18Z,71.8 MiB,2.532,197.17,87.55,62.9,350.152
10.0.0.180:5000/localmongo:latest,2024-06-03T12:27:54Z,71.9 MiB,3.052,220.76,87.59,63.11,374.512
10.0.0.180:5000/localmongo:latest,2024-06-03T12:21:46Z,71.9 MiB,2.652,205.47,87.898,63.456,359.476
10.0.0.180:5000/localmongo:latest,2024-06-03T13:46:16Z,71.9 MiB,2.763,180.33,82.488,58.775,324.356
10.0.0.180:5000/localmongo:latest,2024-06-03T12:22:10Z,71.9 MiB,2.725,198.76,83.368,60.473,345.326
10.0.0.180:5000/localmongo:latest,2024-06-03T12:21:22Z,71.9 MiB,2.764,205.24,85.771,61.389,355.164
10.0.0.180:5000/localmongo:latest,2024-06-03T12:23:46Z,71.9 MiB,3.205,211.53,89.429,64.332,368.496
10.0.0.180:5000/localmongo:latest,2024-06-03T10:48:49Z,71.9 MiB,2.82,192.23,78.068,53.366,326.484
10.0.0.180:5000/localmongo:latest,2024-06-03T12:24:23Z,71.9 MiB,2.81,219.01,100.53,75.105,397.455
10.0.0.180:5000/localmongo:latest,2024-06-03T13:50:21Z,71.9 MiB,2.657,204.8,92.996,68.086,368.539
10.0.0.180:5000/localmongo:latest,2024-06-03T12:23:22Z,71.9 MiB,3.097,225.4,107.24,77.627,413.364
10.0.0.180:5000/localmongo:latest,2024-06-03T12:20:31Z,71.9 MiB,3.741,184.87,76.261,53.197,318.069
10.0.0.180:5000/localmongo:latest,2024-06-03T10:49:41Z,71.9 MiB,2.72,200.66,90.556,65.881,359.817
10.0.0.180:5000/localmongo:latest,2024-06-03T12:28:46Z,71.9 MiB,2.718,206.99,78.498,53.343,341.549
10.0.0.180:5000/localmongo:latest,2024-06-03T12:24:49Z,71.9 MiB,2.224,207.51,87.142,61.73,358.606
10.0.0.180:5000/localmongo:latest,2024-06-03T12:22:34Z,71.9 MiB,2.659,207.43,85.763,61.229,357.081
10.0.0.180:5000/localmongo:latest,2024-06-03T12:26:09Z,71.9 MiB,2.653,199.25,79.957,56.227,338.087
10.0.0.180:5000/localmongo:latest,2024-06-03T12:27:01Z,71.9 MiB,2.114,182.55,74.918,54.866,314.448
10.0.0.180:5000/localmongo:latest,2024-06-03T12:19:42Z,71.9 MiB,2.747,187.98,81.407,60.399,332.533
10.0.0.180:5000/localmongo:latest,2024-06-03T12:22:57Z,71.9 MiB,2.536,200.64,81.247,60.631,345.054
10.0.0.180:5000/localmongo:latest,2024-06-03T12:20:58Z,71.9 MiB,2.679,208.11,85.939,61.967,358.695
10.0.0.180:5000/localmongo:latest,2024-06-03T12:25:16Z,71.9 MiB,2.855,217.63,88.064,63.171,371.72
10.0.0.180:5000/localmongo:latest,2024-06-03T10:47:56Z,71.9 MiB,3.067,217.51,96.366,72.396,389.339
10.0.0.180:5000/localmongo:latest,2024-06-03T12:20:06Z,71.9 MiB,2.659,185.41,78.593,60.792,327.454
10.0.0.180:5000/localmongo:latest,2024-06-03T13:45:48Z,72.0 MiB,2.597,188.91,81.034,60.169,332.71
10.0.0.180:5000/localmongo:latest,2024-06-03T12:49:59Z,72.0 MiB,1.992,169.84,71.414,52.855,296.101
10.0.0.180:5000/localmongo:latest,2024-06-03T13:06:06Z,72.0 MiB,2.795,202.06,87.239,65.365,357.459
10.0.0.180:5000/localmongo:latest,2024-06-03T13:02:12Z,72.0 MiB,2.717,198.37,82.539,62.703,346.329
10.0.0.180:5000/localmongo:latest,2024-06-03T13:49:26Z,72.0 MiB,2.719,198.96,85.16,61.762,348.601
10.0.0.180:5000/localmongo:latest,2024-06-03T13:03:04Z,72.0 MiB,2.734,203.94,82.742,63.541,352.957
10.0.0.180:5000/localmongo:latest,2024-06-03T13:30:03Z,72.0 MiB,2.696,199.55,85.22,61.029,348.495
10.0.0.180:5000/localmongo:latest,2024-06-03T13:35:30Z,72.0 MiB,2.589,189.92,78.653,60.065,331.227
10.0.0.180:5000/localmongo:latest,2024-06-03T13:12:08Z,72.0 MiB,2.63,195.9,73.724,51.834,324.088
10.0.0.180:5000/localmongo:latest,2024-06-03T12:33:15Z,72.0 MiB,2.87,224.36,103.45,75.949,406.629
10.0.0.180:5000/localmongo:latest,2024-06-03T13:39:07Z,72.0 MiB,2.766,198.81,79.468,62.301,343.345
10.0.0.180:5000/localmongo:latest,2024-06-03T12:53:03Z,72.0 MiB,2.737,197.52,78.654,54.717,333.628
10.0.0.180:5000/localmongo:latest,2024-06-03T13:12:34Z,72.0 MiB,2.825,206.31,88.378,63.277,360.79
10.0.0.180:5000/localmongo:latest,2024-06-03T13:47:36Z,72.0 MiB,2.746,204.19,81.512,60.82,349.268
10.0.0.180:5000/localmongo:latest,2024-06-03T12:32:21Z,72.0 MiB,2.753,210.67,86.39,62.458,362.271
10.0.0.180:5000/localmongo:latest,2024-06-03T13:25:11Z,72.0 MiB,2.742,209.16,86.313,60.948,359.163
10.0.0.180:5000/localmongo:latest,2024-06-03T13:30:57Z,72.0 MiB,2.812,199.49,87.709,60.882,350.893
10.0.0.180:5000/localmongo:latest,2024-06-03T13:24:45Z,72.0 MiB,2.879,211.89,86.06,61.463,362.292
10.0.0.180:5000/localmongo:latest,2024-06-03T12:57:00Z,72.0 MiB,2.594,192.29,79.533,60.465,334.882
10.0.0.180:5000/localmongo:latest,2024-06-03T13:13:53Z,72.0 MiB,2.732,203.14,79.952,59.766,345.59
10.0.0.180:5000/localmongo:latest,2024-06-03T12:45:11Z,72.0 MiB,2.656,176.76,73.804,52.959,306.179
10.0.0.180:5000/localmongo:latest,2024-06-03T13:33:38Z,72.0 MiB,2.715,199.53,84.546,61.757,348.548
10.0.0.180:5000/localmongo:latest,2024-06-03T13:22:08Z,72.0 MiB,2.698,207.42,84.217,61.036,355.371
10.0.0.180:5000/localmongo:latest,2024-06-03T12:40:20Z,72.0 MiB,2.783,205.53,94.682,69.509,372.504
10.0.0.180:5000/localmongo:latest,2024-06-03T13:44:29Z,72.0 MiB,2.566,195.7,82.65,61.407,342.323
10.0.0.180:5000/localmongo:latest,2024-06-03T12:31:28Z,72.0 MiB,2.668,193.5,73.675,51.554,321.397
10.0.0.180:5000/localmongo:latest,2024-06-03T12:36:22Z,72.0 MiB,2.625,209.38,88.305,62.239,362.549
10.0.0.180:5000/localmongo:latest,2024-06-03T12:38:07Z,72.0 MiB,2.617,208.67,89.356,62.839,363.482
10.0.0.180:5000/localmongo:latest,2024-06-03T13:21:41Z,72.0 MiB,2.674,208.56,86.555,60.855,358.644
10.0.0.180:5000/localmongo:latest,2024-06-03T13:26:31Z,72.0 MiB,2.761,203.39,84.287,63.387,353.825
10.0.0.180:5000/localmongo:latest,2024-06-03T13:01:46Z,72.0 MiB,2.594,193.48,87.869,65.999,349.942
10.0.0.180:5000/localmongo:latest,2024-06-03T13:08:42Z,72.0 MiB,2.831,208.16,84.215,60.151,355.357
10.0.0.180:5000/localmongo:latest,2024-06-03T12:49:07Z,72.0 MiB,2.689,195.02,85.407,60.579,343.695
10.0.0.180:5000/localmongo:latest,2024-06-03T12:34:08Z,72.0 MiB,2.822,215.22,88.557,63.247,369.846
