Image,Checkpointed,Checkpoint size,Freezing time,Frozen time,Memdump time,Memwrite time,Total dump time
10.0.0.180:5000/localredis:latest,2024-05-29T09:19:55Z,3.4 MiB,457,82.293,5.071,3.305,91.126
10.0.0.180:5000/localredis:latest,2024-05-29T02:10:13Z,3.4 MiB,628,95.062,6.963,4.612,107.265
10.0.0.180:5000/localredis:latest,2024-05-28T21:04:07Z,3.4 MiB,522,92.901,5.449,3.584,102.456
10.0.0.180:5000/localredis:latest,2024-05-29T04:23:49Z,3.4 MiB,619,89.513,7.009,4.592,101.733
10.0.0.180:5000/localredis:latest,2024-05-29T02:58:26Z,3.4 MiB,668,103.46,7.723,4.838,116.689
10.0.0.180:5000/localredis:latest,2024-05-28T21:57:40Z,3.5 MiB,686,107.89,7.286,4.993,120.855
10.0.0.180:5000/localredis:latest,2024-05-29T00:57:32Z,3.4 MiB,713,103.92,8.012,5.121,117.766
10.0.0.180:5000/localredis:latest,2024-05-29T09:08:07Z,3.4 MiB,796,108.21,7.919,4.351,121.276
10.0.0.180:5000/localredis:latest,2024-05-29T10:28:09Z,3.4 MiB,744,121.13,8.652,5.132,135.658
10.0.0.180:5000/localredis:latest,2024-05-29T10:32:24Z,3.4 MiB,661,96.06,6.969,4.752,108.442
10.0.0.180:5000/localredis:latest,2024-05-29T04:15:55Z,3.4 MiB,724,108.16,6.561,4.296,119.741
10.0.0.180:5000/localredis:latest,2024-05-29T10:50:47Z,3.4 MiB,411,71.823,4.049,2.682,78.965
10.0.0.180:5000/localredis:latest,2024-05-28T22:33:29Z,3.4 MiB,405,81.455,5.144,3.308,90.312
10.0.0.180:5000/localredis:latest,2024-05-29T01:48:51Z,3.4 MiB,612,93.846,6.753,4.443,105.654
10.0.0.180:5000/localredis:latest,2024-05-28T22:20:44Z,3.5 MiB,482,101.81,5.828,3.631,111.751
10.0.0.180:5000/localredis:latest,2024-05-29T09:17:20Z,3.4 MiB,654,115.9,8.431,4.388,129.373
10.0.0.180:5000/localredis:latest,2024-05-28T23:37:22Z,3.4 MiB,650,104.8,6.987,4.621,117.058
10.0.0.180:5000/localredis:latest,2024-05-29T03:45:30Z,3.4 MiB,626,100.52,7.152,4.802,113.1
10.0.0.180:5000/localredis:latest,2024-05-28T23:56:15Z,3.4 MiB,660,103.68,6.553,4.352,115.245
10.0.0.180:5000/localredis:latest,2024-05-29T11:03:09Z,3.4 MiB,699,116.11,7.297,5.045,129.151
10.0.0.180:5000/localredis:latest,2024-05-29T00:58:14Z,3.4 MiB,669,107.7,7.22,5.021,120.61
10.0.0.180:5000/localredis:latest,2024-05-29T00:21:57Z,3.4 MiB,661,115.57,7.239,4.541,128.011
10.0.0.180:5000/localredis:latest,2024-05-29T01:49:34Z,3.4 MiB,696,99.179,7.41,4.667,111.952
10.0.0.180:5000/localredis:latest,2024-05-29T01:07:48Z,3.4 MiB,621,94.393,6.87,4.543,106.427
10.0.0.180:5000/localredis:latest,2024-05-29T00:15:40Z,3.4 MiB,1.048,99.573,6.04,3.991,110.652
10.0.0.180:5000/localredis:latest,2024-05-29T00:35:38Z,3.4 MiB,672,115.12,8.013,5.208,129.013
10.0.0.180:5000/localredis:latest,2024-05-29T06:18:59Z,3.4 MiB,384,77.508,4.229,2.841,84.962
10.0.0.180:5000/localredis:latest,2024-05-29T05:48:40Z,3.4 MiB,564,103.67,7.165,4.564,115.963
10.0.0.180:5000/localredis:latest,2024-05-29T01:20:35Z,3.4 MiB,750,106.96,7.104,4.428,119.242
10.0.0.180:5000/localredis:latest,2024-05-29T00:57:11Z,3.4 MiB,647,104.79,7.097,4.688,117.222
10.0.0.180:5000/localredis:latest,2024-05-29T02:52:49Z,3.4 MiB,752,97.377,6.775,4.505,109.409
10.0.0.180:5000/localredis:latest,2024-05-29T09:10:15Z,3.4 MiB,431,90.132,5.169,3.205,98.937
10.0.0.180:5000/localredis:latest,2024-05-28T22:06:23Z,3.5 MiB,677,113.15,7.195,4.916,125.938
