Image,Checkpointed,Checkpoint size,Freezing time,Frozen time,Memdump time,Memwrite time,Total dump time (ms)
10.0.0.180:5000/localredis:latest,2024-05-28T09:47:24Z,2.6 MiB,380 µs,74.161 ms,3.643 ms,2.267 ms,80.451
10.0.0.180:5000/localredis:latest,2024-05-28T09:38:16Z,2.6 MiB,701 µs,108.36 ms,5.811 ms,3.646 ms,118.518
10.0.0.180:5000/localredis:latest,2024-05-27T22:10:57Z,2.8 MiB,436 µs,75.476 ms,4.721 ms,2.97 ms,83.603
10.0.0.180:5000/localredis:latest,2024-05-28T02:38:04Z,2.8 MiB,426 µs,71.818 ms,4.218 ms,2.788 ms,79.25
10.0.0.180:5000/localredis:latest,2024-05-28T06:22:01Z,2.6 MiB,639 µs,96.603 ms,6.034 ms,3.79 ms,107.066
10.0.0.180:5000/localredis:latest,2024-05-28T02:47:13Z,2.8 MiB,376 µs,80.427 ms,3.825 ms,2.375 ms,87.003
10.0.0.180:5000/localredis:latest,2024-05-28T07:59:06Z,2.6 MiB,735 µs,102.91 ms,7.265 ms,5.007 ms,115.917
10.0.0.180:5000/localredis:latest,2024-05-28T02:33:13Z,2.8 MiB,379 µs,80.36 ms,3.768 ms,2.435 ms,86.942
10.0.0.180:5000/localredis:latest,2024-05-27T22:27:42Z,2.6 MiB,671 µs,103.96 ms,5.652 ms,3.458 ms,113.741
10.0.0.180:5000/localredis:latest,2024-05-28T09:31:03Z,2.6 MiB,477 µs,99.069 ms,4.85 ms,2.802 ms,107.198
10.0.0.180:5000/localredis:latest,2024-05-28T10:25:55Z,2.6 MiB,499 µs,98.7 ms,5.91 ms,3.579 ms,108.688
10.0.0.180:5000/localredis:latest,2024-05-28T00:46:38Z,2.6 MiB,662 µs,105.67 ms,6.464 ms,3.816 ms,116.612
10.0.0.180:5000/localredis:latest,2024-05-28T09:41:35Z,2.6 MiB,767 µs,102.4 ms,5.601 ms,3.319 ms,112.087
10.0.0.180:5000/localredis:latest,2024-05-28T00:15:31Z,2.6 MiB,375 µs,86.049 ms,3.557 ms,2.349 ms,92.33
10.0.0.180:5000/localredis:latest,2024-05-28T04:00:23Z,2.6 MiB,644 µs,101.57 ms,5.699 ms,3.412 ms,111.325
10.0.0.180:5000/localredis:latest,2024-05-27T21:32:14Z,2.6 MiB,642 µs,106.56 ms,5.902 ms,3.638 ms,116.742
10.0.0.180:5000/localredis:latest,2024-05-27T22:27:15Z,2.8 MiB,384 µs,89.383 ms,3.742 ms,2.182 ms,95.691
10.0.0.180:5000/localredis:latest,2024-05-27T23:15:41Z,2.6 MiB,651 µs,107.4 ms,5.497 ms,3.382 ms,116.93
10.0.0.180:5000/localredis:latest,2024-05-28T06:54:40Z,2.6 MiB,670 µs,103.72 ms,5.792 ms,3.595 ms,113.777
10.0.0.180:5000/localredis:latest,2024-05-28T07:31:43Z,2.6 MiB,668 µs,101.5 ms,6.71 ms,3.942 ms,112.82
10.0.0.180:5000/localredis:latest,2024-05-28T06:23:48Z,2.6 MiB,365 µs,75.572 ms,3.558 ms,2.173 ms,81.668
10.0.0.180:5000/localredis:latest,2024-05-28T01:09:37Z,2.8 MiB,401 µs,91.915 ms,4.044 ms,2.538 ms,98.898
10.0.0.180:5000/localredis:latest,2024-05-28T09:23:59Z,2.6 MiB,410 µs,80.006 ms,3.735 ms,2.204 ms,86.355
10.0.0.180:5000/localredis:latest,2024-05-28T00:40:38Z,2.8 MiB,365 µs,72.522 ms,3.917 ms,2.547 ms,79.351
10.0.0.180:5000/localredis:latest,2024-05-28T00:39:20Z,2.8 MiB,373 µs,86.441 ms,4 ms,2.614 ms,93.428
10.0.0.180:5000/localredis:latest,2024-05-28T08:24:23Z,2.6 MiB,383 µs,79.402 ms,3.838 ms,2.407 ms,86.03
10.0.0.180:5000/localredis:latest,2024-05-28T07:46:59Z,2.6 MiB,382 µs,87.227 ms,3.854 ms,2.552 ms,94.015
10.0.0.180:5000/localredis:latest,2024-05-27T23:42:32Z,2.6 MiB,617 µs,93.345 ms,5.736 ms,3.47 ms,103.168
10.0.0.180:5000/localredis:latest,2024-05-28T06:40:04Z,2.6 MiB,621 µs,99.328 ms,5.708 ms,3.537 ms,109.194
10.0.0.180:5000/localredis:latest,2024-05-28T09:36:56Z,2.6 MiB,774 µs,108.15 ms,6.708 ms,3.993 ms,119.625
10.0.0.180:5000/localredis:latest,2024-05-27T21:45:16Z,2.6 MiB,609 µs,99.351 ms,5.62 ms,3.433 ms,109.013
10.0.0.180:5000/localredis:latest,2024-05-27T22:08:43Z,2.8 MiB,377 µs,71.566 ms,3.494 ms,2.154 ms,77.591
10.0.0.180:5000/localredis:latest,2024-05-28T03:00:47Z,2.8 MiB,435 µs,78.087 ms,4.738 ms,3.05 ms,86.31
10.0.0.180:5000/localredis:latest,2024-05-28T00:26:46Z,2.8 MiB,431 µs,86.931 ms,3.975 ms,2.664 ms,94.001
10.0.0.180:5000/localredis:latest,2024-05-28T08:53:59Z,2.6 MiB,623 µs,94.461 ms,5.751 ms,3.619 ms,104.454
10.0.0.180:5000/localredis:latest,2024-05-27T21:23:31Z,2.8 MiB,382 µs,70.287 ms,3.5 ms,2.199 ms,76.368
10.0.0.180:5000/localredis:latest,2024-05-28T03:05:52Z,2.6 MiB,755 µs,118.48 ms,7.074 ms,4.32 ms,130.629
10.0.0.180:5000/localredis:latest,2024-05-28T06:48:38Z,2.6 MiB,403 µs,76.511 ms,3.73 ms,2.187 ms,82.831
10.0.0.180:5000/localredis:latest,2024-05-28T06:27:33Z,2.6 MiB,688 µs,93.006 ms,5.881 ms,3.557 ms,103.132
10.0.0.180:5000/localredis:latest,2024-05-28T06:54:30Z,2.6 MiB,366 µs,78.917 ms,3.911 ms,2.541 ms,85.735
10.0.0.180:5000/localredis:latest,2024-05-27T20:40:41Z,2.8 MiB,443 µs,83.035 ms,4.963 ms,3.162 ms,91.603
10.0.0.180:5000/localredis:latest,2024-05-27T23:19:22Z,2.8 MiB,384 µs,76.734 ms,3.872 ms,2.404 ms,83.394
10.0.0.180:5000/localredis:latest,2024-05-27T22:04:06Z,2.6 MiB,685 µs,101.67 ms,5.584 ms,3.363 ms,111.302
10.0.0.180:5000/localredis:latest,2024-05-28T07:28:38Z,2.6 MiB,394 µs,74.564 ms,3.788 ms,2.467 ms,81.213
10.0.0.180:5000/localredis:latest,2024-05-28T03:42:57Z,2.6 MiB,669 µs,108.79 ms,6.22 ms,3.817 ms,119.496
10.0.0.180:5000/localredis:latest,2024-05-28T08:54:29Z,2.6 MiB,470 µs,76.815 ms,4.846 ms,2.926 ms,85.057
10.0.0.180:5000/localredis:latest,2024-05-28T01:01:51Z,2.8 MiB,408 µs,72.832 ms,3.813 ms,2.478 ms,79.531
10.0.0.180:5000/localredis:latest,2024-05-28T00:05:11Z,2.6 MiB,611 µs,105.29 ms,6.077 ms,3.787 ms,115.765
10.0.0.180:5000/localredis:latest,2024-05-28T08:04:42Z,2.6 MiB,398 µs,92.953 ms,3.506 ms,2.097 ms,98.954
10.0.0.180:5000/localredis:latest,2024-05-27T23:24:43Z,2.6 MiB,659 µs,113.48 ms,6.285 ms,3.624 ms,124.048
10.0.0.180:5000/localredis:latest,2024-05-28T03:25:20Z,2.6 MiB,651 µs,118.1 ms,5.948 ms,3.58 ms,128.279
10.0.0.180:5000/localredis:latest,2024-05-28T00:25:08Z,2.8 MiB,429 µs,78.295 ms,3.862 ms,2.442 ms,85.028
10.0.0.180:5000/localredis:latest,2024-05-28T06:47:03Z,2.6 MiB,380 µs,70.33 ms,3.563 ms,2.189 ms,76.462
10.0.0.180:5000/localredis:latest,2024-05-28T03:24:50Z,2.8 MiB,438 µs,84.108 ms,4.051 ms,2.683 ms,91.28
10.0.0.180:5000/localredis:latest,2024-05-28T08:34:09Z,2.6 MiB,697 µs,111.02 ms,6.449 ms,3.822 ms,121.988
10.0.0.180:5000/localredis:latest,2024-05-28T04:34:30Z,2.8 MiB,398 µs,69.322 ms,3.598 ms,2.182 ms,75.5
10.0.0.180:5000/localredis:latest,2024-05-28T06:32:23Z,2.6 MiB,385 µs,70.474 ms,3.929 ms,2.403 ms,77.191
10.0.0.180:5000/localredis:latest,2024-05-28T04:38:34Z,2.6 MiB,657 µs,104.75 ms,6.045 ms,3.634 ms,115.086
10.0.0.180:5000/localredis:latest,2024-05-28T06:01:28Z,2.6 MiB,375 µs,73.974 ms,3.73 ms,2.416 ms,80.495
10.0.0.180:5000/localredis:latest,2024-05-28T05:28:50Z,2.6 MiB,643 µs,106.62 ms,5.96 ms,3.661 ms,116.884
10.0.0.180:5000/localredis:latest,2024-05-27T23:19:12Z,2.6 MiB,677 µs,100.71 ms,5.831 ms,3.522 ms,110.74
10.0.0.180:5000/localredis:latest,2024-05-28T07:18:11Z,2.6 MiB,387 µs,75.268 ms,3.568 ms,2.283 ms,81.506
10.0.0.180:5000/localredis:latest,2024-05-28T06:13:36Z,2.6 MiB,612 µs,98.508 ms,5.59 ms,3.372 ms,108.082
10.0.0.180:5000/localredis:latest,2024-05-28T09:32:12Z,2.6 MiB,410 µs,69.038 ms,3.502 ms,2.167 ms,75.117
10.0.0.180:5000/localredis:latest,2024-05-28T04:54:45Z,2.8 MiB,403 µs,71.071 ms,3.913 ms,2.601 ms,77.988
10.0.0.180:5000/localredis:latest,2024-05-27T22:15:54Z,2.6 MiB,619 µs,95.007 ms,5.678 ms,3.56 ms,104.864
10.0.0.180:5000/localredis:latest,2024-05-28T00:49:21Z,2.8 MiB,456 µs,76.226 ms,4.698 ms,2.98 ms,84.36
10.0.0.180:5000/localredis:latest,2024-05-28T06:25:45Z,2.6 MiB,388 µs,72.863 ms,3.805 ms,2.413 ms,79.469
10.0.0.180:5000/localredis:latest,2024-05-28T08:04:12Z,2.6 MiB,397 µs,75.781 ms,3.749 ms,2.403 ms,82.33
10.0.0.180:5000/localredis:latest,2024-05-28T03:01:07Z,2.8 MiB,373 µs,78.93 ms,3.687 ms,2.298 ms,85.288
10.0.0.180:5000/localredis:latest,2024-05-28T01:50:59Z,2.8 MiB,371 µs,80.47 ms,3.858 ms,2.319 ms,87.018
10.0.0.180:5000/localredis:latest,2024-05-28T02:19:54Z,2.6 MiB,680 µs,105.67 ms,5.931 ms,3.601 ms,115.882
10.0.0.180:5000/localredis:latest,2024-05-28T06:59:15Z,2.6 MiB,655 µs,105.12 ms,6.201 ms,3.925 ms,115.901
10.0.0.180:5000/localredis:latest,2024-05-27T21:11:56Z,2.6 MiB,720 µs,100.93 ms,5.98 ms,3.734 ms,111.364
10.0.0.180:5000/localredis:latest,2024-05-27T21:26:48Z,2.6 MiB,489 µs,83.032 ms,4.915 ms,3.045 ms,91.481
10.0.0.180:5000/localredis:latest,2024-05-28T05:36:45Z,2.6 MiB,670 µs,103.94 ms,5.738 ms,3.597 ms,113.945
10.0.0.180:5000/localredis:latest,2024-05-28T08:20:05Z,2.6 MiB,387 µs,75.533 ms,3.963 ms,2.62 ms,82.503
10.0.0.180:5000/localredis:latest,2024-05-28T01:38:22Z,2.6 MiB,659 µs,108.33 ms,5.808 ms,3.548 ms,118.345
10.0.0.180:5000/localredis:latest,2024-05-28T01:12:02Z,2.6 MiB,683 µs,96.219 ms,6.008 ms,3.724 ms,106.634
10.0.0.180:5000/localredis:latest,2024-05-27T21:02:11Z,2.8 MiB,369 µs,70.984 ms,3.489 ms,2.115 ms,76.957
10.0.0.180:5000/localredis:latest,2024-05-27T23:43:10Z,2.6 MiB,724 µs,99.861 ms,5.943 ms,3.738 ms,110.266
10.0.0.180:5000/localredis:latest,2024-05-28T03:37:52Z,2.8 MiB,366 µs,73.861 ms,3.631 ms,2.34 ms,80.198
10.0.0.180:5000/localredis:latest,2024-05-28T10:22:58Z,2.6 MiB,588 µs,106.31 ms,6.069 ms,3.631 ms,116.598
10.0.0.180:5000/localredis:latest,2024-05-28T03:19:52Z,2.6 MiB,608 µs,108.71 ms,5.756 ms,3.543 ms,118.617
10.0.0.180:5000/localredis:latest,2024-05-28T00:48:43Z,2.8 MiB,412 µs,73.044 ms,4.417 ms,2.688 ms,80.561
10.0.0.180:5000/localredis:latest,2024-05-28T03:04:52Z,2.6 MiB,664 µs,104.67 ms,5.944 ms,3.702 ms,114.98
10.0.0.180:5000/localredis:latest,2024-05-28T08:32:12Z,2.6 MiB,843 µs,104.47 ms,8.451 ms,5.284 ms,119.048
10.0.0.180:5000/localredis:latest,2024-05-28T01:10:35Z,2.8 MiB,468 µs,77.525 ms,5.138 ms,3.203 ms,86.334
10.0.0.180:5000/localredis:latest,2024-05-28T08:51:19Z,2.6 MiB,683 µs,106.71 ms,6.102 ms,3.62 ms,117.115
10.0.0.180:5000/localredis:latest,2024-05-28T10:55:43Z,2.6 MiB,644 µs,100.97 ms,5.634 ms,3.335 ms,110.583
10.0.0.180:5000/localredis:latest,2024-05-28T02:21:12Z,2.6 MiB,463 µs,97.45 ms,4.453 ms,2.445 ms,104.811
10.0.0.180:5000/localredis:latest,2024-05-28T02:21:02Z,2.8 MiB,464 µs,83.099 ms,5.055 ms,3.285 ms,91.903
10.0.0.180:5000/localredis:latest,2024-05-28T01:29:44Z,2.8 MiB,396 µs,75.622 ms,4.588 ms,3.072 ms,83.678
10.0.0.180:5000/localredis:latest,2024-05-27T22:23:24Z,2.8 MiB,366 µs,77.644 ms,3.576 ms,2.193 ms,83.779
10.0.0.180:5000/localredis:latest,2024-05-28T05:41:13Z,2.6 MiB,506 µs,109.61 ms,4.345 ms,2.545 ms,117.006
10.0.0.180:5000/localredis:latest,2024-05-28T04:24:28Z,2.6 MiB,701 µs,99.949 ms,5.862 ms,3.616 ms,110.128
10.0.0.180:5000/localredis:latest,2024-05-27T22:36:59Z,2.6 MiB,620 µs,119.22 ms,4.927 ms,2.937 ms,127.704
10.0.0.180:5000/localredis:latest,2024-05-28T03:07:20Z,2.8 MiB,487 µs,77.587 ms,4.69 ms,2.949 ms,85.713
10.0.0.180:5000/localredis:latest,2024-05-28T02:00:27Z,2.6 MiB,696 µs,95.099 ms,6.003 ms,3.842 ms,105.64
10.0.0.180:5000/localredis:latest,2024-05-27T22:02:40Z,2.8 MiB,419 µs,78.181 ms,4.484 ms,2.76 ms,85.844
10.0.0.180:5000/localredis:latest,2024-05-28T06:48:19Z,2.6 MiB,421 µs,79.629 ms,4.314 ms,2.619 ms,86.983
10.0.0.180:5000/localredis:latest,2024-05-28T06:14:27Z,2.6 MiB,394 µs,76.704 ms,3.886 ms,2.5 ms,83.484
10.0.0.180:5000/localredis:latest,2024-05-27T20:43:57Z,2.6 MiB,376 µs,75.321 ms,3.174 ms,1.89 ms,80.761
10.0.0.180:5000/localredis:latest,2024-05-28T09:40:05Z,2.6 MiB,374 µs,73.788 ms,3.541 ms,2.163 ms,79.866
10.0.0.180:5000/localredis:latest,2024-05-28T08:31:42Z,2.6 MiB,375 µs,76.479 ms,3.749 ms,2.407 ms,83.01
10.0.0.180:5000/localredis:latest,2024-05-28T03:18:42Z,2.8 MiB,407 µs,82.646 ms,4.261 ms,2.922 ms,90.236
10.0.0.180:5000/localredis:latest,2024-05-28T03:49:55Z,2.6 MiB,617 µs,103.33 ms,5.675 ms,3.542 ms,113.164
10.0.0.180:5000/localredis:latest,2024-05-28T10:11:10Z,2.6 MiB,364 µs,75.3 ms,3.516 ms,2.158 ms,81.338
10.0.0.180:5000/localredis:latest,2024-05-28T08:44:48Z,2.6 MiB,379 µs,70.518 ms,3.493 ms,2.173 ms,76.563
10.0.0.180:5000/localredis:latest,2024-05-28T06:45:26Z,2.6 MiB,396 µs,72.749 ms,3.449 ms,2.131 ms,78.725
10.0.0.180:5000/localredis:latest,2024-05-28T08:41:31Z,2.6 MiB,373 µs,78.046 ms,5.619 ms,4.238 ms,88.276
10.0.0.180:5000/localredis:latest,2024-05-27T21:42:16Z,2.8 MiB,406 µs,77.463 ms,4.073 ms,2.411 ms,84.353
10.0.0.180:5000/localredis:latest,2024-05-27T21:58:04Z,2.6 MiB,602 µs,109.65 ms,5.318 ms,3.149 ms,118.719
10.0.0.180:5000/localredis:latest,2024-05-27T21:21:39Z,2.8 MiB,375 µs,88.615 ms,3.57 ms,2.163 ms,94.723
10.0.0.180:5000/localredis:latest,2024-05-27T20:58:31Z,2.6 MiB,696 µs,104.34 ms,6.268 ms,3.666 ms,114.97
10.0.0.180:5000/localredis:latest,2024-05-28T00:19:37Z,2.8 MiB,509 µs,85.53 ms,6.133 ms,4.263 ms,96.435
10.0.0.180:5000/localredis:latest,2024-05-28T10:03:12Z,2.6 MiB,381 µs,72.095 ms,3.817 ms,2.208 ms,78.501
