Index,Image,Checkpointed,Checkpoint size,Freezing time,Frozen time,Memdump time,Memwrite time,Total dump time (ms)
460,10.0.0.180:5000/localredis:latest,2024-06-02T16:06:25Z,12.2 MiB,434 µs,82.862 ms,10.13 ms,8.459 ms,101.885
319,10.0.0.180:5000/localredis:latest,2024-06-02T15:41:46Z,12.2 MiB,639 µs,113.47 ms,18.711 ms,15.733 ms,148.553
285,10.0.0.180:5000/localredis:latest,2024-06-02T15:35:58Z,12.2 MiB,649 µs,120.77 ms,27.276 ms,23.048 ms,171.743
294,10.0.0.180:5000/localredis:latest,2024-06-02T15:37:29Z,12.2 MiB,380 µs,81.866 ms,15.436 ms,8.694 ms,106.376
688,10.0.0.180:5000/localredis:latest,2024-06-02T16:46:17Z,12.2 MiB,387 µs,92.982 ms,11.268 ms,9.034 ms,113.671
883,10.0.0.180:5000/localredis:latest,2024-06-02T17:20:26Z,12.2 MiB,716 µs,110.42 ms,19.246 ms,16.447 ms,146.829
415,10.0.0.180:5000/localredis:latest,2024-06-02T15:58:37Z,12.2 MiB,372 µs,84.488 ms,11.226 ms,9.721 ms,105.807
658,10.0.0.180:5000/localredis:latest,2024-06-02T16:40:55Z,12.2 MiB,621 µs,94.978 ms,18.546 ms,14.37 ms,128.515
641,10.0.0.180:5000/localredis:latest,2024-06-02T16:37:56Z,12.2 MiB,606 µs,103.33 ms,16.723 ms,13.906 ms,134.565
485,10.0.0.180:5000/localredis:latest,2024-06-02T16:10:48Z,12.2 MiB,683 µs,119.22 ms,18.88 ms,14.66 ms,153.443
188,10.0.0.180:5000/localredis:latest,2024-06-02T15:19:16Z,12.2 MiB,430 µs,82.237 ms,13.461 ms,11.225 ms,107.353
112,10.0.0.180:5000/localredis:latest,2024-06-02T15:05:56Z,12.2 MiB,443 µs,86.51 ms,11.554 ms,9.849 ms,108.356
251,10.0.0.180:5000/localredis:latest,2024-06-02T15:30:08Z,12.2 MiB,715 µs,110.95 ms,18.649 ms,15.643 ms,145.957
809,10.0.0.180:5000/localredis:latest,2024-06-02T17:07:30Z,12.2 MiB,606 µs,117.59 ms,17.981 ms,15.121 ms,151.298
819,10.0.0.180:5000/localredis:latest,2024-06-02T17:09:14Z,12.2 MiB,692 µs,115.48 ms,17.973 ms,14.991 ms,149.136
83,10.0.0.180:5000/localredis:latest,2024-06-02T15:00:51Z,12.2 MiB,755 µs,122.95 ms,27.195 ms,24.076 ms,174.976
1019,10.0.0.180:5000/localredis:latest,2024-06-02T17:44:25Z,12.2 MiB,632 µs,113.46 ms,16.198 ms,13.265 ms,143.555
389,10.0.0.180:5000/localredis:latest,2024-06-02T15:54:09Z,12.2 MiB,700 µs,97.114 ms,20.184 ms,17.186 ms,135.184
400,10.0.0.180:5000/localredis:latest,2024-06-02T15:56:05Z,12.2 MiB,414 µs,89.856 ms,11.903 ms,10.172 ms,112.345
344,10.0.0.180:5000/localredis:latest,2024-06-02T15:46:09Z,12.2 MiB,414 µs,75.441 ms,10.926 ms,9.017 ms,95.798
825,10.0.0.180:5000/localredis:latest,2024-06-02T17:10:15Z,12.2 MiB,753 µs,115.7 ms,17.56 ms,14.325 ms,148.338
914,10.0.0.180:5000/localredis:latest,2024-06-02T17:25:56Z,12.2 MiB,371 µs,81.793 ms,11.334 ms,9.645 ms,103.143
956,10.0.0.180:5000/localredis:latest,2024-06-02T17:33:13Z,12.2 MiB,378 µs,77.793 ms,11.899 ms,10.221 ms,100.291
47,10.0.0.180:5000/localredis:latest,2024-06-02T14:54:39Z,12.2 MiB,677 µs,110.34 ms,20.012 ms,16.251 ms,147.28
661,10.0.0.180:5000/localredis:latest,2024-06-02T16:41:27Z,12.2 MiB,626 µs,94.501 ms,17.072 ms,14.045 ms,126.244
624,10.0.0.180:5000/localredis:latest,2024-06-02T16:34:54Z,12.2 MiB,405 µs,83.245 ms,11.29 ms,9.04 ms,103.98
470,10.0.0.180:5000/localredis:latest,2024-06-02T16:08:09Z,12.2 MiB,387 µs,80.599 ms,11.871 ms,10.166 ms,103.023
988,10.0.0.180:5000/localredis:latest,2024-06-02T17:38:41Z,12.2 MiB,367 µs,86.84 ms,10.225 ms,8.569 ms,106.001
757,10.0.0.180:5000/localredis:latest,2024-06-02T16:58:18Z,12.2 MiB,679 µs,105.71 ms,18.567 ms,15.596 ms,140.552
147,10.0.0.180:5000/localredis:latest,2024-06-02T15:12:01Z,12.2 MiB,642 µs,130.68 ms,23.202 ms,19.246 ms,173.77
959,10.0.0.180:5000/localredis:latest,2024-06-02T17:33:45Z,12.2 MiB,353 µs,75.991 ms,9.348 ms,7.864 ms,93.556
992,10.0.0.180:5000/localredis:latest,2024-06-02T17:39:21Z,12.2 MiB,383 µs,76.434 ms,11.154 ms,8.843 ms,96.814
664,10.0.0.180:5000/localredis:latest,2024-06-02T16:41:58Z,12.2 MiB,405 µs,84.192 ms,13.669 ms,11.465 ms,109.731
227,10.0.0.180:5000/localredis:latest,2024-06-02T15:26:02Z,12.2 MiB,698 µs,114.47 ms,20.898 ms,16.489 ms,152.555
907,10.0.0.180:5000/localredis:latest,2024-06-02T17:24:42Z,12.2 MiB,648 µs,118.43 ms,19.081 ms,16.142 ms,154.301
278,10.0.0.180:5000/localredis:latest,2024-06-02T15:34:47Z,12.2 MiB,427 µs,88.456 ms,13.145 ms,10.481 ms,112.509
249,10.0.0.180:5000/localredis:latest,2024-06-02T15:29:48Z,12.2 MiB,429 µs,100.36 ms,13.223 ms,11.266 ms,125.278
292,10.0.0.180:5000/localredis:latest,2024-06-02T15:37:09Z,12.2 MiB,379 µs,90.759 ms,10.77 ms,9.075 ms,110.983
63,10.0.0.180:5000/localredis:latest,2024-06-02T14:57:28Z,12.2 MiB,619 µs,126.31 ms,19.83 ms,16.572 ms,163.331
586,10.0.0.180:5000/localredis:latest,2024-06-02T16:28:17Z,12.2 MiB,416 µs,85.876 ms,12.68 ms,10.019 ms,108.991
1052,10.0.0.180:5000/localredis:latest,2024-06-02T17:50:52Z,12.2 MiB,662 µs,102.09 ms,16.991 ms,14.023 ms,133.766
637,10.0.0.180:5000/localredis:latest,2024-06-02T16:37:13Z,12.2 MiB,526 µs,104.9 ms,14.012 ms,11.774 ms,131.212
346,10.0.0.180:5000/localredis:latest,2024-06-02T15:46:30Z,12.2 MiB,386 µs,88.898 ms,10.592 ms,8.739 ms,108.615
113,10.0.0.180:5000/localredis:latest,2024-06-02T15:06:07Z,12.2 MiB,649 µs,103.38 ms,19.915 ms,17.028 ms,140.972
18,10.0.0.180:5000/localredis:latest,2024-06-02T14:49:35Z,12.2 MiB,382 µs,85.02 ms,11.638 ms,9.847 ms,106.887
115,10.0.0.180:5000/localredis:latest,2024-06-02T15:06:28Z,12.2 MiB,783 µs,110.21 ms,19.306 ms,16.418 ms,146.717
743,10.0.0.180:5000/localredis:latest,2024-06-02T16:55:51Z,12.2 MiB,605 µs,114.65 ms,16.759 ms,13.895 ms,145.909
555,10.0.0.180:5000/localredis:latest,2024-06-02T16:23:00Z,12.2 MiB,770 µs,111.82 ms,19.334 ms,15.196 ms,147.12
616,10.0.0.180:5000/localredis:latest,2024-06-02T16:33:31Z,12.2 MiB,467 µs,96.163 ms,12.996 ms,10.198 ms,119.824
781,10.0.0.180:5000/localredis:latest,2024-06-02T17:02:35Z,12.2 MiB,658 µs,113.96 ms,17.502 ms,14.628 ms,146.748
1049,10.0.0.180:5000/localredis:latest,2024-06-02T17:50:17Z,12.2 MiB,671 µs,101.12 ms,18.089 ms,14.956 ms,134.836
898,10.0.0.180:5000/localredis:latest,2024-06-02T17:23:05Z,12.2 MiB,395 µs,76.31 ms,10.512 ms,8.782 ms,95.999
623,10.0.0.180:5000/localredis:latest,2024-06-02T16:34:44Z,12.2 MiB,659 µs,118.83 ms,19.903 ms,15.626 ms,155.018
459,10.0.0.180:5000/localredis:latest,2024-06-02T16:06:14Z,12.2 MiB,695 µs,117.94 ms,23.977 ms,20.598 ms,163.21
491,10.0.0.180:5000/localredis:latest,2024-06-02T16:11:51Z,12.2 MiB,672 µs,108.3 ms,18.43 ms,15.344 ms,142.746
141,10.0.0.180:5000/localredis:latest,2024-06-02T15:10:59Z,12.2 MiB,667 µs,97.276 ms,19.338 ms,16.313 ms,133.594
295,10.0.0.180:5000/localredis:latest,2024-06-02T15:37:39Z,12.2 MiB,842 µs,119.82 ms,21.438 ms,16.396 ms,158.496
387,10.0.0.180:5000/localredis:latest,2024-06-02T15:53:48Z,12.2 MiB,801 µs,130.22 ms,19.821 ms,16.689 ms,167.531
829,10.0.0.180:5000/localredis:latest,2024-06-02T17:10:57Z,12.2 MiB,628 µs,102.32 ms,19.586 ms,16.688 ms,139.222
841,10.0.0.180:5000/localredis:latest,2024-06-02T17:13:02Z,12.2 MiB,670 µs,98.949 ms,19.58 ms,16.701 ms,135.9
503,10.0.0.180:5000/localredis:latest,2024-06-02T16:13:58Z,12.2 MiB,788 µs,127.95 ms,20.529 ms,16.146 ms,165.413
308,10.0.0.180:5000/localredis:latest,2024-06-02T15:39:53Z,12.2 MiB,459 µs,88.776 ms,13.951 ms,11.748 ms,114.934
630,10.0.0.180:5000/localredis:latest,2024-06-02T16:35:59Z,12.2 MiB,391 µs,79.223 ms,10.371 ms,8.69 ms,98.675
5,10.0.0.180:5000/localredis:latest,2024-06-02T14:47:18Z,12.2 MiB,392 µs,82.036 ms,12.719 ms,11.077 ms,106.224
715,10.0.0.180:5000/localredis:latest,2024-06-02T16:51:00Z,12.2 MiB,715 µs,100.36 ms,18.283 ms,15.329 ms,134.687
276,10.0.0.180:5000/localredis:latest,2024-06-02T15:34:26Z,12.2 MiB,439 µs,90.512 ms,12.864 ms,10.135 ms,113.95
