Index,Image,Checkpointed,Checkpoint size,Freezing time,Frozen time,Memdump time,Memwrite time,Total dump time (ms)
1470,10.0.0.180:5000/localredis:latest,2024-06-03T07:47:18Z,96.1 MiB,659 µs,170.54 ms,84.564 ms,76.678 ms,332.441
470,10.0.0.180:5000/localredis:latest,2024-06-02T22:42:59Z,96.1 MiB,511 µs,183.03 ms,90.823 ms,84.018 ms,358.382
980,10.0.0.180:5000/localredis:latest,2024-06-03T03:05:53Z,96.1 MiB,754 µs,204.26 ms,102.94 ms,86.969 ms,394.923
868,10.0.0.180:5000/localredis:latest,2024-06-03T02:03:09Z,96.1 MiB,634 µs,192.59 ms,95.384 ms,85.554 ms,374.162
85,10.0.0.180:5000/localredis:latest,2024-06-02T20:34:41Z,96.1 MiB,629 µs,182.63 ms,84.373 ms,76.401 ms,344.033
569,10.0.0.180:5000/localredis:latest,2024-06-02T23:26:33Z,96.1 MiB,682 µs,189.85 ms,92.555 ms,82.37 ms,365.457
1130,10.0.0.180:5000/localredis:latest,2024-06-03T04:32:15Z,96.1 MiB,668 µs,208.76 ms,112.36 ms,93.659 ms,415.447
407,10.0.0.180:5000/localredis:latest,2024-06-02T22:15:31Z,96.1 MiB,763 µs,207.7 ms,108.74 ms,92.845 ms,410.048
529,10.0.0.180:5000/localredis:latest,2024-06-02T23:13:16Z,96.1 MiB,698 µs,216.81 ms,113.72 ms,96.746 ms,427.974
738,10.0.0.180:5000/localredis:latest,2024-06-03T00:54:30Z,96.1 MiB,487 µs,157.44 ms,77.156 ms,70.026 ms,305.109
196,10.0.0.180:5000/localredis:latest,2024-06-02T21:11:16Z,96.1 MiB,639 µs,194.8 ms,106.14 ms,92.627 ms,394.206
1192,10.0.0.180:5000/localredis:latest,2024-06-03T05:07:50Z,96.1 MiB,658 µs,178.07 ms,93.34 ms,84.523 ms,356.591
1228,10.0.0.180:5000/localredis:latest,2024-06-03T05:28:33Z,96.1 MiB,708 µs,203.59 ms,94.611 ms,82.541 ms,381.45
136,10.0.0.180:5000/localredis:latest,2024-06-02T20:51:28Z,96.1 MiB,619 µs,187.32 ms,99.134 ms,89.354 ms,376.427
669,10.0.0.180:5000/localredis:latest,2024-06-03T00:17:37Z,96.1 MiB,724 µs,200.23 ms,98.985 ms,86.125 ms,386.064
218,10.0.0.180:5000/localredis:latest,2024-06-02T21:18:31Z,96.1 MiB,631 µs,185.66 ms,94.096 ms,85.849 ms,366.236
1406,10.0.0.180:5000/localredis:latest,2024-06-03T07:10:21Z,96.1 MiB,620 µs,202.45 ms,100.94 ms,88.985 ms,392.995
259,10.0.0.180:5000/localredis:latest,2024-06-02T21:32:05Z,96.1 MiB,632 µs,183.26 ms,82.712 ms,74.374 ms,340.978
777,10.0.0.180:5000/localredis:latest,2024-06-03T01:14:41Z,96.1 MiB,640 µs,197.12 ms,101.26 ms,88.512 ms,387.532
335,10.0.0.180:5000/localredis:latest,2024-06-02T21:55:02Z,96.1 MiB,679 µs,214.57 ms,109.16 ms,94.532 ms,418.941
1454,10.0.0.180:5000/localredis:latest,2024-06-03T07:38:03Z,96.1 MiB,721 µs,180.13 ms,93.633 ms,85.139 ms,359.623
277,10.0.0.180:5000/localredis:latest,2024-06-02T21:38:00Z,96.1 MiB,752 µs,215.96 ms,110.91 ms,96.16 ms,423.782
1268,10.0.0.180:5000/localredis:latest,2024-06-03T05:51:34Z,96.1 MiB,749 µs,171.74 ms,88.712 ms,80.68 ms,341.881
163,10.0.0.180:5000/localredis:latest,2024-06-02T21:00:25Z,96.1 MiB,692 µs,205.34 ms,109.08 ms,94.38 ms,409.492
1169,10.0.0.180:5000/localredis:latest,2024-06-03T04:54:14Z,96.1 MiB,710 µs,187.99 ms,92.184 ms,80.576 ms,361.46
775,10.0.0.180:5000/localredis:latest,2024-06-03T01:13:38Z,96.1 MiB,749 µs,207.79 ms,104.52 ms,91.054 ms,404.113
1244,10.0.0.180:5000/localredis:latest,2024-06-03T05:37:39Z,96.1 MiB,690 µs,183.73 ms,87.995 ms,78.052 ms,350.467
59,10.0.0.180:5000/localredis:latest,2024-06-02T20:26:19Z,96.1 MiB,620 µs,212.76 ms,109.18 ms,94.715 ms,417.275
1445,10.0.0.180:5000/localredis:latest,2024-06-03T07:32:37Z,96.1 MiB,715 µs,210.24 ms,97.899 ms,83.18 ms,392.034
933,10.0.0.180:5000/localredis:latest,2024-06-03T02:37:58Z,96.1 MiB,654 µs,231.08 ms,122.58 ms,103.76 ms,458.074
92,10.0.0.180:5000/localredis:latest,2024-06-02T20:37:01Z,96.1 MiB,621 µs,194.64 ms,97.162 ms,84.455 ms,376.878
78,10.0.0.180:5000/localredis:latest,2024-06-02T20:32:24Z,96.1 MiB,677 µs,191.13 ms,98.391 ms,85.515 ms,375.713
100,10.0.0.180:5000/localredis:latest,2024-06-02T20:39:39Z,96.1 MiB,888 µs,183.73 ms,95.626 ms,87.783 ms,368.027
191,10.0.0.180:5000/localredis:latest,2024-06-02T21:09:37Z,96.1 MiB,619 µs,206.61 ms,114.45 ms,100.12 ms,421.799
418,10.0.0.180:5000/localredis:latest,2024-06-02T22:19:02Z,96.1 MiB,691 µs,182.13 ms,93.527 ms,85.449 ms,361.797
224,10.0.0.180:5000/localredis:latest,2024-06-02T21:20:29Z,96.1 MiB,681 µs,204.47 ms,103.08 ms,89.761 ms,397.992
232,10.0.0.180:5000/localredis:latest,2024-06-02T21:23:07Z,96.1 MiB,650 µs,176.49 ms,89.131 ms,81.178 ms,347.449
597,10.0.0.180:5000/localredis:latest,2024-06-02T23:39:41Z,96.1 MiB,624 µs,194.25 ms,96.432 ms,86.322 ms,377.628
153,10.0.0.180:5000/localredis:latest,2024-06-02T20:57:07Z,96.1 MiB,823 µs,213.28 ms,113.29 ms,95.282 ms,422.675
