Index, Checkpoint Creation, Checkpoint Location, Permission Change, Image Creation, Image Push, Pod Ready, Total
1,376,5,13,582,1136,2160,4514
2,380,5,14,624,1142,2212,4696
3,360,6,19,581,1153,2137,4549
4,326,4,18,475,1080,2654,4815
5,388,6,20,579,1111,1305,3686
6,328,6,20,613,1110,2421,4818
7,374,7,18,668,1128,1995,4499
8,344,5,16,589,1170,2376,4800
9,354,6,17,647,1251,2139,4699
10,344,6,18,598,1079,2482,4825
11,366,6,14,536,1123,1330,3674
12,285,4,14,420,880,2939,4746
13,308,3,11,352,832,2002,3728
14,264,3,12,459,967,2817,4744
15,293,3,10,380,722,332,1950
16,287,4,12,435,947,2359,4262
17,341,3,11,408,752,1940,3669
18,283,4,12,431,896,2265,4113
19,301,3,11,372,699,1084,2681
20,254,4,11,404,901,2344,4131
21,316,3,10,406,755,1949,3678
22,263,3,13,468,970,2208,4133
23,305,3,10,385,735,1039,2698
24,252,3,12,408,858,2397,4133
25,320,3,11,387,738,1002,2675
26,245,3,10,421,893,2400,4175
27,307,3,11,376,719,1040,2658
28,240,3,12,418,875,2403,4159
29,296,4,11,422,767,1926,3647
30,247,3,11,417,879,2410,4179
31,307,4,11,387,805,1896,3639
32,263,3,12,424,890,2372,4172
33,276,3,11,374,725,1025,2627
34,260,4,11,427,976,2286,4170
35,253,3,11,392,756,1028,2647
36,241,4,12,410,844,2461,4175
37,279,4,10,397,712,2036,3653
38,271,4,11,421,870,2368,4156
39,332,4,12,394,792,1875,3626
40,276,4,12,487,985,2171,4160
41,300,3,10,396,737,1939,3615
42,279,4,12,418,918,2334,4174
43,317,4,11,397,699,1975,3620
44,263,3,11,412,841,2446,4183
45,342,3,13,443,749,1780,3592
46,276,4,12,434,943,2283,4187
47,299,4,10,402,737,1961,3620
48,261,4,12,399,871,2420,4174
49,302,3,11,395,747,1935,3614
50,269,3,12,454,926,2288,4164
51,301,4,10,389,719,989,2633
52,273,4,11,432,951,2307,4184
53,317,3,11,388,770,1895,3598
54,271,3,11,403,811,2515,4228
55,294,4,11,403,701,1893,3542
56,252,4,11,415,908,2411,4207
57,286,4,11,400,803,1843,3564
58,248,3,11,428,838,2489,4224
59,329,3,11,353,724,1980,3611
60,249,3,11,406,870,2453,4192
61,304,4,12,395,737,1939,3616
62,298,3,11,417,882,2377,4196
63,300,5,12,416,861,1794,3625
64,259,4,12,436,908,2371,4196
65,292,4,11,413,756,1864,3564
66,263,3,12,417,840,2479,4214
67,354,4,11,395,766,1784,3541
68,250,3,10,433,888,2425,4222
69,317,4,11,390,839,1802,3575
70,284,3,10,423,887,2426,4236
71,331,3,11,390,712,1897,3558
72,337,4,12,443,921,2350,4281
73,304,3,12,388,744,1835,3499
74,275,3,11,436,1027,2339,4318
75,293,3,11,393,806,1764,3505
76,257,3,11,422,902,2469,4273
77,276,4,11,417,784,1798,3505
78,238,4,14,425,862,2537,4288
79,322,4,10,370,731,1845,3498
80,259,3,13,395,857,2575,4308
81,316,4,11,427,822,1696,3516
82,262,3,13,415,862,2534,4294
83,311,4,11,409,712,1824,3493
84,281,4,10,391,906,2540,4338
85,256,3,11,374,749,1910,3517
86,229,4,12,429,883,2566,4336
