Index, Checkpoint Creation, Checkpoint Location, Permission Change, Image Creation, Image Push, Pod Ready, Total
259,2518,7,19,2121,9870,15445,30297
149,2609,7,19,2296,10806,13840,29890
89,2479,6,17,2304,11483,8612,25227
881,2487,7,19,2255,9865,8245,23203
321,2395,7,18,2479,10818,6194,22233
48,2518,6,18,2276,10289,6790,22226
438,2019,8,19,2507,10765,6439,22109
883,2704,6,18,2467,11319,4559,21400
493,2338,7,18,2133,11197,5242,21242
44,2537,7,17,2622,10677,5054,21236
30,2395,7,17,2194,10914,5369,21218
432,2593,7,24,2184,11043,4971,21139
450,2414,8,19,2546,10794,5003,21115
738,2492,8,20,2540,10228,5509,21111
34,2482,7,17,2375,10836,5041,21109
855,2620,6,19,2320,10970,4848,21107
736,2562,8,20,2324,11342,4519,21093
400,2444,8,22,2703,10835,4703,21071
399,2654,8,19,2593,10790,4664,21066
796,2738,8,21,2375,10878,4698,21065
830,2203,7,22,2392,11498,4613,21045
268,2408,7,16,2221,10162,5859,20988
793,2314,6,17,2339,11263,4729,20980
506,2458,6,19,2411,11076,4689,20959
419,2523,6,18,2363,10951,4755,20941
28,2395,7,18,2460,10168,5544,20935
440,2535,8,20,2634,10796,4582,20901
437,2432,8,18,2250,10860,4946,20834
402,2817,9,20,2532,10729,4359,20825
405,2214,7,19,2613,10764,4833,20797
434,2610,8,18,2271,10809,4762,20795
280,2417,7,19,2445,11289,4281,20791
828,2689,8,22,2540,10560,4629,20784
826,2594,7,20,2606,11076,4126,20779
798,2203,8,22,2638,10706,4829,20761
120,2377,6,18,2193,9340,6190,20444
98,2579,6,18,2567,10645,4232,20377
735,2672,8,19,2403,10487,4405,20316
51,2594,7,19,2124,9896,5341,20279
6,2214,7,17,2362,10349,5020,20278
791,2749,7,18,2268,10479,4444,20271
838,2361,6,18,2722,10150,4695,20271
96,2610,6,19,2294,10239,4777,20259
305,2549,6,18,2282,10365,4756,20259
358,2655,6,17,2302,10558,4424,20259
136,2662,5,18,2231,10868,4138,20256
834,2660,5,16,2297,10527,4421,20254
170,2594,7,18,2280,10573,4482,20253
188,2617,7,18,2312,10925,4062,20253
871,2445,6,19,2280,10687,4499,20249
309,2781,6,18,2292,10270,4561,20247
18,2401,6,17,2353,10177,4994,20246
56,2671,7,18,2346,10162,4728,20245
290,2331,7,18,2374,10156,5035,20245
55,2541,7,18,2309,10558,4480,20243
212,2472,6,18,2324,10961,4158,20242
287,2741,6,19,2335,10607,4219,20242
63,2654,7,17,2351,10143,4754,20239
186,2379,6,17,2272,10813,4447,20239
270,2526,6,18,2382,10525,4457,20238
209,2377,6,19,2207,10767,4558,20237
833,2555,7,20,2394,10589,4341,20236
182,2530,6,17,2236,10486,4661,20235
507,2413,7,18,2835,10527,4118,20234
50,2764,6,17,2478,10024,4628,20232
181,2536,7,18,2350,10445,4558,20231
339,2723,7,18,2332,10902,3949,20230
5,2141,6,21,2412,10886,4446,20229
442,2598,6,19,2222,10505,4556,20228
17,2599,6,19,2585,10183,4513,20227
231,2408,6,19,2493,10235,4744,20227
752,2416,7,19,2669,10377,4436,20227
334,2412,6,18,2211,10872,4406,20226
472,2536,7,18,2436,11190,3736,20226
176,2535,7,18,2279,11075,4007,20224
303,2803,7,19,2237,10706,4138,20220
39,2553,6,18,2178,10499,4642,20219
515,2520,6,18,2303,10254,4790,20213
768,2465,6,19,2802,10262,4364,20213
795,2677,8,20,2419,10698,4050,20213
835,2421,6,17,2316,10828,4309,20213
771,2652,7,19,2164,10500,4543,20210
851,2306,8,18,2626,10277,4650,20210
269,2846,6,18,2267,10342,4426,20209
24,2516,7,17,2549,10657,4141,20204
404,2542,8,20,2275,10318,4682,20198
447,2293,7,18,2570,10309,4666,20197
842,2895,7,19,2308,10260,4398,20195
433,2533,6,25,2309,10412,4577,20193
16,2410,6,18,2255,9982,5226,20191
