Index, Checkpoint Creation, Checkpoint Location, Permission Change, Image Creation, Image Push, Pod Ready, Total
1, 1228, 6, 17, 1064, 4064, 3371, 10057
2, 1215, 6, 18, 1190, 4129, 3422, 10296
3, 949, 5, 17, 1140, 4232, 4407, 11048
4, 1047, 6, 17, 1293, 4500, 4516, 11698
5, 1118, 7, 18, 1178, 4056, 4331, 11015
6, 1162, 6, 17, 1168, 3906, 4287, 10859
7, 929, 6, 17, 1236, 4488, 4004, 10988
8, 1106, 6, 18, 1207, 4047, 4128, 10832
9, 1213, 6, 19, 1214, 4055, 4194, 11013
10, 1048, 6, 17, 1240, 4060, 4156, 10849
11, 1037, 6, 17, 1187, 4220, 4198, 10965
12, 1063, 6, 18, 1120, 3999, 4350, 10868
13, 1047, 7, 18, 1154, 4061, 4392, 10962
14, 1020, 6, 17, 1130, 3993, 4426, 10918
15, 1053, 5, 16, 1190, 3920, 4431, 10917
16, 1166, 6, 17, 1234, 3993, 4193, 10913
17, 1010, 7, 17, 1108, 4398, 4060, 10890
18, 1099, 6, 18, 1187, 4332, 3972, 10942
19, 1073, 7, 18, 1286, 4259, 4837, 11762
20, 964, 6, 17, 1146, 4024, 3411, 9856
21, 1095, 5, 18, 1183, 4204, 3939, 10741
22, 1141, 6, 17, 1254, 3900, 4084, 10700
23, 1005, 6, 18, 1211, 3925, 4342, 10794
24, 1196, 6, 17, 1155, 3974, 4065, 10715
25, 1000, 5, 16, 1142, 4381, 4006, 10840
26, 1128, 5, 17, 1162, 4074, 4297, 11010
27, 1007, 6, 18, 1125, 3995, 4311, 10768
28, 1121, 7, 17, 1244, 4104, 4226, 11027
29, 1082, 6, 18, 1197, 4173, 3747, 10524
30, 1083, 6, 17, 1128, 3775, 4711, 11033
31, 1011, 7, 18, 1145, 4099, 4162, 10742
32, 1169, 6, 19, 1198, 4102, 3289, 10078
33, 879, 6, 17, 1135, 4111, 4179, 10638
34, 1087, 6, 18, 1131, 4034, 4332, 10918
35, 917, 6, 17, 1304, 4433, 3680, 10684
36, 1063, 6, 18, 1128, 4077, 4335, 10942
37, 983, 6, 18, 1222, 4010, 4226, 10769
38, 1031, 6, 18, 1180, 4106, 4391, 11040
39, 971, 7, 17, 1071, 3982, 4158, 10487
40, 1075, 6, 18, 1144, 4073, 4409, 11057
41, 986, 5, 18, 1169, 4399, 3759, 10638
42, 979, 6, 18, 1186, 4225, 4231, 10956
43, 987, 6, 19, 1153, 4193, 3995, 10663
44, 999, 6, 18, 1159, 4058, 4522, 11070
45, 1034, 6, 18, 1174, 4331, 3873, 10740
46, 1001, 7, 19, 1237, 4174, 4287, 11055
47, 984, 7, 18, 1184, 4301, 3664, 10486
48, 1034, 6, 16, 1226, 4159, 4246, 11012
49, 1109, 8, 20, 1260, 4518, 4374, 11602
50, 1065, 8, 20, 1234, 4085, 4214, 10948
51, 1078, 8, 19, 1305, 4095, 4764, 11578
52, 1055, 8, 18, 1218, 4059, 4296, 10995
53, 1112, 6, 15, 1324, 4365, 4452, 11567
54, 1024, 7, 20, 1290, 4675, 4518, 11888
55, 1083, 6, 24, 1263, 4414, 4570, 11667
56, 1076, 7, 21, 1282, 4566, 4709, 12006
57, 975, 8, 21, 1211, 4190, 3919, 10667
58, 1144, 7, 22, 1112, 4531, 3832, 10975
59, 1006, 7, 19, 1331, 4321, 3517, 10533
60, 1063, 7, 19, 1276, 4612, 3788, 11101
61, 986, 8, 18, 1194, 4283, 5738, 12533
62, 1181, 9, 21, 1339, 4465, 3668, 11002
63, 1077, 9, 17, 1234, 4327, 4547, 11551
64, 1129, 8, 25, 1198, 4485, 3807, 10996
65, 1006, 8, 17, 1314, 4588, 4310, 11558
66, 1050, 7, 19, 1207, 4344, 3786, 10744
67, 964, 7, 20, 1269, 4001, 3902, 10501
68, 1078, 8, 19, 1284, 4424, 3850, 10996
69, 946, 7, 20, 1238, 4383, 3512, 10434
70, 1119, 6, 20, 1266, 4321, 3634, 10707
71, 1055, 6, 19, 1194, 4220, 4717, 11549
72, 1119, 7, 20, 1234, 4431, 3851, 10997
73, 1068, 6, 21, 1296, 4212, 3621, 10539
74, 1204, 6, 20, 1249, 4210, 3959, 10982
75, 1018, 6, 19, 1216, 4527, 4427, 11542
76, 1143, 6, 20, 1178, 4552, 3802, 11028
77, 987, 9, 18, 1293, 4323, 4610, 11586
78, 1103, 6, 19, 1241, 4600, 3812, 11098
79, 1043, 8, 20, 1252, 4231, 4629, 11521
80, 1201, 7, 19, 1275, 4246, 3902, 10990
81, 1057, 6, 19, 1230, 4279, 4653, 11565
82, 1171, 7, 22, 1230, 4293, 3620, 10691
83, 1015, 7, 19, 1233, 4559, 4435, 11592
84, 1095, 9, 19, 1441, 4561, 3473, 10926
85, 999, 6, 19, 1238, 4217, 3925, 10743
86, 1072, 8, 20, 1178, 4356, 3855, 10817
87, 1054, 7, 18, 1310, 4514, 4384, 11605
88, 1117, 8, 20, 1237, 4702, 3500, 10942
89, 987, 6, 18, 1295, 4520, 4442, 11619
90, 1092, 6, 20, 1323, 4288, 4830, 11891
91, 1168, 7, 19, 1271, 4488, 4457, 11739
92, 1129, 6, 20, 1363, 4269, 4169, 11285
93, 1028, 7, 17, 1283, 4452, 4309, 11417
94, 1109, 7, 18, 1200, 4243, 3448, 10354
95, 931, 7, 19, 1189, 4275, 4561, 11300
96, 1127, 9, 19, 1240, 4324, 3989, 11023
97, 1011, 8, 18, 1277, 4496, 4233, 11378
98, 1048, 8, 20, 1176, 4671, 3927, 11197
99, 981, 6, 17, 1207, 4245, 4553, 11342
100, 1094, 7, 20, 1318, 4522, 3847, 11145
101, 971, 9, 21, 1317, 4291, 4433, 11377
102, 1109, 8, 22, 1271, 4568, 3809, 11105
103, 1028, 6, 19, 1158, 4506, 4407, 11441
104, 1026, 9, 17, 1295, 4307, 4943, 11949
105, 1014, 8, 18, 1336, 4167, 3566, 10428
106, 1047, 7, 20, 1265, 4200, 3920, 10794
107, 938, 7, 19, 1311, 4131, 4669, 11419
108, 1053, 7, 21, 1176, 4516, 3486, 10613
109, 954, 9, 20, 1264, 4731, 3676, 10999
110, 1103, 7, 20, 1400, 4701, 4006, 11594
111, 1025, 8, 20, 1304, 4424, 4754, 11882
112, 1013, 7, 21, 1232, 4801, 4325, 11721
113, 932, 8, 20, 1297, 4349, 4856, 11794
114, 1015, 9, 22, 1424, 4412, 3369, 10603
115, 994, 9, 23, 1203, 4299, 4002, 10883
116, 939, 6, 18, 1324, 4554, 3423, 10616
117, 981, 8, 20, 1230, 4356, 3750, 10670
118, 977, 9, 21, 1271, 4534, 3430, 10570
119, 973, 6, 22, 1214, 4714, 4652, 11922
120, 992, 6, 19, 1164, 4628, 4167, 11286
121, 986, 7, 22, 1368, 4739, 4451, 11940
122, 1054, 9, 22, 1493, 4877, 4750, 12552
123, 990, 8, 16, 1271, 4449, 3913, 11002
124, 1138, 7, 22, 1118, 4593, 4259, 11502
125, 980, 8, 20, 1236, 4337, 4129, 11059
126, 1092, 8, 25, 1259, 4655, 4162, 11541
127, 976, 9, 20, 1348, 4441, 3885, 11033
128, 1148, 8, 20, 1289, 4567, 3960, 11353
129, 1073, 8, 19, 1210, 4452, 3902, 11015
130, 1155, 7, 22, 1177, 4536, 4192, 11448
131, 982, 8, 22, 1276, 4611, 4822, 12054
132, 1164, 7, 20, 1263, 4478, 4214, 11478
133, 1072, 7, 18, 1281, 4230, 3946, 10889
134, 1025, 7, 20, 1369, 4579, 4107, 11456
135, 982, 9, 17, 1216, 4527, 3961, 11076
136, 1164, 8, 21, 1305, 4396, 4196, 11438
137, 1000, 8, 19, 1184, 4322, 4267, 11102
138, 1264, 8, 23, 1266, 4520, 3879, 11323
139, 992, 9, 22, 1356, 4794, 4582, 12100
140, 929, 8, 20, 1264, 4990, 3894, 11413
141, 991, 6, 18, 1268, 4996, 4546, 12130
142, 1077, 8, 23, 1357, 4970, 4630, 12416
143, 1051, 8, 20, 1268, 4660, 3806, 11152
144, 1058, 8, 21, 1230, 4571, 4145, 11379
145, 996, 8, 21, 1239, 5097, 4441, 12166
146, 1125, 8, 21, 1357, 4943, 3560, 11350
147, 996, 8, 22, 1353, 4993, 4455, 12176
148, 1117, 8, 22, 1311, 4746, 3780, 11306
149, 992, 6, 15, 1128, 4825, 3924, 11220
150, 1084, 8, 19, 1320, 4653, 3766, 11187
151, 1134, 6, 18, 1233, 4871, 3662, 11225
152, 1147, 8, 19, 1435, 4564, 3669, 11176
153, 1002, 6, 18, 1359, 4786, 4418, 11937
154, 1133, 8, 21, 1273, 5308, 3243, 11317
155, 1048, 8, 18, 1282, 4520, 4156, 11364
156, 1123, 9, 22, 1260, 4731, 3679, 11159
157, 1166, 5, 19, 1266, 4486, 3833, 11102
158, 1110, 8, 20, 1241, 4912, 3529, 11168
159, 1041, 7, 20, 1451, 5062, 4237, 12170
160, 1104, 8, 21, 1295, 4565, 4510, 11854
161, 1039, 8, 20, 1159, 4900, 3842, 11290
162, 1094, 7, 22, 1245, 4710, 3754, 11156
163, 1019, 7, 21, 1221, 4183, 3572, 10345
164, 1117, 8, 19, 1124, 4635, 3892, 11136
165, 1028, 6, 17, 1193, 4780, 3981, 11336
166, 1117, 8, 20, 1235, 4817, 3684, 11200
167, 1026, 7, 21, 1306, 4817, 4810, 12323
168, 1066, 8, 22, 1202, 4431, 4164, 11230
169, 1033, 8, 21, 1242, 4808, 3881, 11308
170, 1062, 8, 21, 1433, 5428, 3734, 12025
171, 1080, 8, 21, 1268, 4942, 4793, 12418
172, 1075, 7, 18, 1259, 5102, 4369, 12155
173, 1018, 8, 18, 1275, 4372, 4254, 11263
174, 1121, 7, 21, 1297, 4575, 3782, 11139
175, 1004, 7, 19, 1344, 4374, 4276, 11360
176, 1120, 7, 20, 1363, 4802, 3482, 11140
177, 1047, 6, 20, 1139, 4373, 4440, 11328
178, 1067, 8, 20, 1217, 4775, 3664, 11099
179, 1074, 6, 18, 1152, 4978, 3946, 11494
180, 1151, 7, 19, 1290, 4402, 3746, 10950
181, 1083, 7, 17, 1254, 4221, 4638, 11549
182, 1071, 7, 18, 1312, 4568, 3780, 11078
183, 935, 7, 18, 1182, 4554, 4513, 11532
184, 1046, 8, 23, 1240, 4445, 3866, 10973
185, 1022, 8, 19, 1181, 4545, 4302, 11420
186, 1080, 6, 16, 1268, 4733, 4204, 11674
187, 1125, 6, 17, 1199, 4710, 4071, 11430
188, 1109, 8, 18, 1223, 4296, 3852, 10849
189, 1029, 7, 19, 1181, 4402, 3609, 10545
190, 1092, 8, 20, 1197, 4448, 3711, 10824
191, 1006, 7, 19, 1335, 4776, 4049, 11536
192, 1202, 7, 21, 1137, 4593, 3652, 10936
193, 1040, 6, 18, 1212, 4379, 3597, 10550
194, 1142, 7, 19, 1320, 4729, 4143, 11689
195, 1044, 7, 19, 1237, 4269, 4670, 11564
196, 1036, 6, 17, 1069, 4417, 4100, 10962
197, 1019, 6, 18, 1200, 4172, 3896, 10619
198, 1148, 6, 18, 1143, 4730, 3748, 11115
199, 1024, 7, 18, 1185, 4526, 4530, 11613
200, 1139, 7, 18, 1249, 4218, 4030, 10959
201, 1104, 5, 16, 1120, 4214, 3854, 10624
202, 1137, 6, 18, 1232, 4223, 4044, 10961
203, 969, 6, 17, 1232, 4377, 3655, 10585
204, 1075, 7, 20, 1233, 4626, 3698, 10961
205, 927, 7, 18, 1204, 4435, 3650, 10562
206, 1104, 6, 17, 1213, 4362, 3929, 10940
207, 1011, 7, 18, 1321, 4477, 4439, 11594
208, 1100, 7, 18, 1201, 4210, 4087, 10942
209, 969, 5, 17, 1236, 4377, 4746, 11667
210, 831, 7, 19, 1267, 5111, 4383, 11935
211, 1017, 7, 18, 1218, 4912, 4132, 11628
212, 1039, 8, 19, 1277, 4647, 4560, 11891
213, 1067, 7, 20, 1373, 4600, 4189, 11622
214, 1010, 7, 19, 1357, 4655, 3855, 11249
215, 999, 9, 20, 1389, 4606, 4917, 12268
216, 1051, 6, 18, 1167, 4699, 4032, 11298
217, 1024, 7, 19, 1123, 4429, 4383, 11285
218, 1058, 8, 18, 1235, 4925, 3672, 11251
219, 1064, 7, 19, 1247, 4770, 4560, 11969
220, 1110, 7, 20, 1218, 5037, 3537, 11234
221, 986, 7, 19, 1228, 4312, 4309, 11164
222, 808, 7, 22, 1274, 4422, 4352, 11208
223, 992, 7, 22, 1104, 4468, 4109, 11024
224, 1041, 8, 21, 1198, 4770, 3765, 11142
225, 993, 9, 18, 1313, 4768, 3630, 11071
226, 1163, 7, 21, 1249, 4612, 3678, 11059
227, 997, 9, 19, 1352, 4603, 4042, 11354
228, 1131, 13, 19, 1174, 4312, 3863, 10840
229, 943, 7, 17, 1218, 4582, 4263, 11368
230, 1172, 7, 20, 1231, 4692, 3658, 11124
231, 945, 6, 23, 1232, 4591, 4292, 11422
232, 1050, 8, 23, 1457, 4573, 3619, 11077
233, 956, 7, 22, 1259, 4553, 4213, 11341
234, 1081, 8, 19, 1317, 4378, 3975, 11086
235, 973, 9, 20, 1244, 4657, 4206, 11461
236, 1206, 8, 18, 1205, 4472, 3411, 10654
237, 967, 8, 20, 1294, 4563, 4262, 11445
238, 1201, 8, 20, 1402, 5071, 3982, 12038
239, 996, 7, 20, 1230, 4541, 4299, 11400
240, 1076, 8, 20, 1223, 4440, 3961, 11023
241, 998, 8, 19, 1217, 4651, 4128, 11370
242, 1188, 9, 20, 1308, 4772, 4232, 11873
243, 1018, 6, 21, 1234, 4780, 4139, 11539
244, 1179, 6, 18, 1221, 4283, 3974, 11029
245, 1137, 6, 18, 1375, 4395, 4292, 11560
246, 1044, 8, 17, 1142, 4316, 4150, 10988
247, 1049, 7, 18, 1236, 4398, 4526, 11548
248, 1063, 7, 20, 1259, 5179, 4095, 11980
249, 936, 6, 17, 1209, 4462, 4631, 11591
250, 1039, 7, 19, 1067, 4562, 3991, 11000
251, 907, 7, 18, 1253, 4620, 4453, 11582
252, 1088, 7, 18, 1082, 4500, 3870, 10873
253, 941, 8, 20, 1281, 4878, 4142, 11609
254, 1127, 7, 21, 1414, 5291, 3702, 11921
255, 990, 6, 26, 1393, 4761, 3760, 11275
256, 983, 9, 22, 1353, 4815, 3399, 10915
257, 972, 7, 20, 1170, 4749, 4329, 11593
258, 1100, 7, 20, 1404, 5516, 4520, 12943
259, 1004, 9, 22, 1305, 4798, 4016, 11483
260, 967, 6, 22, 1245, 4783, 4571, 11912
